Gene_Name,homologous_superfamily,name
ERVK-7,"['IPR012337', 'IPR036397', 'IPR036862', 'IPR043502']","['Ribonuclease H-like superfamily', 'Ribonuclease H superfamily', 'Integrase, C-terminal domain superfamily, retroviral', 'DNA/RNA polymerase superfamily']"
TMEM267,,
ERVK-25,"['IPR012337', 'IPR036397', 'IPR036862', 'IPR043502']","['Ribonuclease H-like superfamily', 'Ribonuclease H superfamily', 'Integrase, C-terminal domain superfamily, retroviral', 'DNA/RNA polymerase superfamily']"
HMGB1P1,['IPR036910'],['High mobility group box domain superfamily']
ERVK-7,"['IPR008916', 'IPR008919', 'IPR010999', 'IPR038124']","['Retrovirus capsid, C-terminal', 'Retrovirus capsid, N-terminal', 'Retroviral matrix protein', 'Beta-retroviral matrix superfamily']"
ERVK-7,['IPR021109'],['Aspartic peptidase domain superfamily']
HERVK_113,"['IPR012337', 'IPR036397', 'IPR036862', 'IPR043128', 'IPR043502']","['Ribonuclease H-like superfamily', 'Ribonuclease H superfamily', 'Integrase, C-terminal domain superfamily, retroviral', 'Reverse transcriptase/Diguanylate cyclase domain', 'DNA/RNA polymerase superfamily']"
AHCTF1,,
NUP58,,
COA4,,
PDE6C,['IPR036971'],"[""3'5'-cyclic nucleotide phosphodiesterase, catalytic domain superfamily""]"
RIN2,"['IPR029071', 'IPR036860', 'IPR037191']","['Ubiquitin-like domain superfamily', 'SH2 domain superfamily', 'VPS9 domain superfamily']"
C7orf66,"['IPR029071', 'IPR036860', 'IPR037191']","['Ubiquitin-like domain superfamily', 'SH2 domain superfamily', 'VPS9 domain superfamily']"
SLC39A5,,
SELENOO,,
DLL3,['IPR009030'],['Growth factor receptor cysteine-rich domain superfamily']
STRBP,,
,,
TAB2,['IPR036443'],"['Zinc finger, RanBP2-type superfamily']"
SCNN1B,,
FABP6,['IPR012674'],['Calycin']
ATP4B,['IPR038702'],['Sodium/potassium-transporting ATPase subunit beta superfamily']
C1QL4,['IPR008983'],['Tumour necrosis factor-like domain superfamily']
BPIFA4P,,
CCDC125,,
ERVK-24,"['IPR008916', 'IPR008919', 'IPR010999', 'IPR036875', 'IPR038124']","['Retrovirus capsid, C-terminal', 'Retrovirus capsid, N-terminal', 'Retroviral matrix protein', 'Zinc finger, CCHC-type superfamily', 'Beta-retroviral matrix superfamily']"
TMEM147,,
UBE2B,['IPR016135'],['Ubiquitin-conjugating enzyme/RWD-like']
CPNE8,"['IPR035892', 'IPR036465']","['C2 domain superfamily', 'von Willebrand factor A-like domain superfamily']"
LRTOMT,,
KCTD15,['IPR011333'],['SKP1/BTB/POZ domain superfamily']
ALG8,,
TLR7,"['IPR032675', 'IPR035897']","['Leucine-rich repeat domain superfamily', 'Toll/interleukin-1 receptor homology (TIR) domain superfamily']"
SCNN1G,,
TMED9,,
MRPL39,"['IPR012675', 'IPR012676', 'IPR018163']","['Beta-grasp domain superfamily', 'TGS-like', 'Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain superfamily']"
C21orf91,"['IPR012675', 'IPR012676', 'IPR018163']","['Beta-grasp domain superfamily', 'TGS-like', 'Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain superfamily']"
ISPD,['IPR029044'],['Nucleotide-diphospho-sugar transferases']
PLCD1,"['IPR011992', 'IPR011993', 'IPR035892']","['EF-hand domain pair', 'PH-like domain superfamily', 'C2 domain superfamily']"
SCNN1D,,
GATAD2A,,
KLB,['IPR017853'],['Glycoside hydrolase superfamily']
LGALS16,['IPR013320'],['Concanavalin A-like lectin/glucanase domain superfamily']
DUSP23,['IPR029021'],['Protein-tyrosine phosphatase-like']
UTP14A,,
PPP2R2A,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
AGTRAP,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
CSRNP3,,
MAP3K20,"['IPR011009', 'IPR013761']","['Protein kinase-like domain superfamily', 'Sterile alpha motif/pointed domain superfamily']"
FKBP11,,
CYP39A1,['IPR036396'],['Cytochrome P450 superfamily']
ATG4A,['IPR038765'],['Papain-like cysteine peptidase superfamily']
ZNF248,['IPR036051'],['KRAB domain superfamily']
TTC21A,['IPR011990'],['Tetratricopeptide-like helical domain superfamily']
MTRNR2L2,,
MTRNR2L1,,
MCU,,
BVES,,
RFLNA,,
GABRA4,"['IPR036719', 'IPR036734']","['Neurotransmitter-gated ion-channel transmembrane domain superfamily', 'Neurotransmitter-gated ion-channel ligand-binding domain superfamily']"
,"['IPR036719', 'IPR036734']","['Neurotransmitter-gated ion-channel transmembrane domain superfamily', 'Neurotransmitter-gated ion-channel ligand-binding domain superfamily']"
ME1,"['IPR036291', 'IPR037062']","['NAD(P)-binding domain superfamily', 'Malic enzyme, N-terminal domain superfamily']"
MTRNR2L10,,
MTRNR2L9,,
MTRNR2L8,,
MTRNR2L7,,
GLRB,"['IPR036719', 'IPR036734']","['Neurotransmitter-gated ion-channel transmembrane domain superfamily', 'Neurotransmitter-gated ion-channel ligand-binding domain superfamily']"
MTRNR2L6,,
MTRNR2L5,,
MTRNR2L4,,
GJA8,['IPR038359'],"['Connexin, N-terminal domain superfamily']"
MTRNR2L3,,
SMC1B,"['IPR027417', 'IPR036277']","['P-loop containing nucleoside triphosphate hydrolase', 'SMCs flexible hinge superfamily']"
ST6GALNAC3,,
ABCF1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
GPR26,,
TNRC6A,"['IPR012677', 'IPR035979']","['Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily']"
GCC2,,
ZNF888,['IPR036236'],['Zinc finger C2H2 superfamily']
ZNF865,['IPR036236'],['Zinc finger C2H2 superfamily']
IGHV3-49,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
POLR2G,"['IPR012340', 'IPR036898']","['Nucleic acid-binding, OB-fold', 'RNA polymerase Rpb7-like, N-terminal domain superfamily']"
IGHV1-45,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
MGA,"['IPR008967', 'IPR036638', 'IPR036960']","['p53-like transcription factor, DNA-binding', 'Helix-loop-helix DNA-binding domain superfamily', 'T-box superfamily']"
ADORA2A-AS1,"['IPR008967', 'IPR036638', 'IPR036960']","['p53-like transcription factor, DNA-binding', 'Helix-loop-helix DNA-binding domain superfamily', 'T-box superfamily']"
ACTR3,,
CHDH,"['IPR027424', 'IPR036188']","['Glucose Oxidase, domain 2', 'FAD/NAD(P)-binding domain superfamily']"
HIPK4,['IPR011009'],['Protein kinase-like domain superfamily']
ZNF738,['IPR036051'],['KRAB domain superfamily']
ACTR1A,,
ETF1,"['IPR024049', 'IPR029064', 'IPR042226']","['Peptide Chain Release Factor eRF1/aRF1, N-terminal', '50S ribosomal protein L30e-like', 'eRF1, domain 2 superfamily']"
ACTR2,['IPR043129'],"['ATPase, nucleotide binding domain']"
HLA-DRB1,['IPR043129'],"['ATPase, nucleotide binding domain']"
RAB11A,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
TMEM258,,
ABCA11P,,
PREP,,
NPBWR1,,
NPBWR2,,
RBM15B,"['IPR012677', 'IPR016194', 'IPR035979']","['Nucleotide-binding alpha-beta plait domain superfamily', 'SPOC-like, C-terminal domain superfamily', 'RNA-binding domain superfamily']"
GLYAT,['IPR016181'],['Acyl-CoA N-acyltransferase']
ZBED6,"['IPR012337', 'IPR036236', 'IPR037220']","['Ribonuclease H-like superfamily', 'Zinc finger C2H2 superfamily', 'Zinc finger BED domain']"
USP11,['IPR035927'],['DUSP-like superfamily']
SERPINB9,"['IPR036186', 'IPR042178']","['Serpin superfamily', 'Serpin superfamily, domain 1']"
SERPINB8,['IPR042178'],"['Serpin superfamily, domain 1']"
SUGP2,['IPR035967'],['SWAP/Surp superfamily']
LHX2,['IPR009057'],['Homeobox-like domain superfamily']
WWC1,"['IPR035892', 'IPR036020']","['C2 domain superfamily', 'WW domain superfamily']"
UEVLD,"['IPR015955', 'IPR016135', 'IPR036291']","['Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal', 'Ubiquitin-conjugating enzyme/RWD-like', 'NAD(P)-binding domain superfamily']"
CD302,"['IPR016186', 'IPR016187']","['C-type lectin-like/link domain superfamily', 'C-type lectin fold']"
ZNF157,['IPR036236'],['Zinc finger C2H2 superfamily']
REXO1L1P,,
ZFPM1,,
SERPINH1,"['IPR036186', 'IPR042178', 'IPR042185']","['Serpin superfamily', 'Serpin superfamily, domain 1', 'Serpin superfamily, domain 2']"
CLCN2,['IPR014743'],"['Chloride channel, core']"
KCNQ1,,
TMEM155,,
RAB14,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
CLCN4,,
BEND2,,
CSRP3,,
CLCN5,['IPR014743'],"['Chloride channel, core']"
C3orf58,,
SIMC1,,
CLCN3,['IPR014743'],"['Chloride channel, core']"
TMEM161B,['IPR014743'],"['Chloride channel, core']"
CLCN6,['IPR014743'],"['Chloride channel, core']"
FAM223A,['IPR014743'],"['Chloride channel, core']"
RP1L1,['IPR036572'],['Doublecortin domain superfamily']
,['IPR036572'],['Doublecortin domain superfamily']
CLCN7,['IPR014743'],"['Chloride channel, core']"
KLHL26,"['IPR011333', 'IPR015915']","['SKP1/BTB/POZ domain superfamily', 'Kelch-type beta propeller']"
EIPR1,['IPR015943'],['WD40/YVTN repeat-like-containing domain superfamily']
ANKRD13D,,
CCDC92,,
DUX4L5,,
DUX4L4,['IPR009057'],['Homeobox-like domain superfamily']
DUX4L3,,
DUX4L2,,
ADPRHL1,['IPR036705'],['ADP-ribosylation/Crystallin J1 superfamily']
BHLHE23,['IPR036638'],['Helix-loop-helix DNA-binding domain superfamily']
MDS2,['IPR036638'],['Helix-loop-helix DNA-binding domain superfamily']
PDLIM4,['IPR036034'],['PDZ superfamily']
TMEM52,,
DUX4L6,['IPR009057'],['Homeobox-like domain superfamily']
STH,['IPR009057'],['Homeobox-like domain superfamily']
DUX4L7,,
,,
ZC3H6,['IPR036855'],"['Zinc finger, CCCH-type superfamily']"
PSD4,"['IPR023394', 'IPR035999']","['Sec7, C-terminal domain superfamily', 'Sec7 domain superfamily']"
SLC17A8,['IPR036259'],['MFS transporter superfamily']
GOLGA8H,['IPR036259'],['MFS transporter superfamily']
PHC3,"['IPR013761', 'IPR038603']","['Sterile alpha motif/pointed domain superfamily', 'FCS-type zinc finger superfamily']"
ZNF740,['IPR036236'],['Zinc finger C2H2 superfamily']
SFTPA2,"['IPR016186', 'IPR016187']","['C-type lectin-like/link domain superfamily', 'C-type lectin fold']"
SFTPA1,"['IPR016186', 'IPR016187']","['C-type lectin-like/link domain superfamily', 'C-type lectin fold']"
LY6G5B,,
HSCB,"['IPR036386', 'IPR036869']","['HscB, C-terminal domain superfamily', 'Chaperone J-domain superfamily']"
ADGRA3,"['IPR013783', 'IPR032675', 'IPR036179', 'IPR036445']","['Immunoglobulin-like fold', 'Leucine-rich repeat domain superfamily', 'Immunoglobulin-like domain superfamily', 'GPCR family 2, extracellular hormone receptor domain superfamily']"
ENPEP,['IPR042097'],"['Aminopeptidase N-like , N-terminal']"
LACTB2,"['IPR036388', 'IPR036866']","['Winged helix-like DNA-binding domain superfamily', 'Ribonuclease Z/Hydroxyacylglutathione hydrolase-like']"
TRIM67,"['IPR013083', 'IPR013320', 'IPR013783', 'IPR043136']","['Zinc finger, RING/FYVE/PHD-type', 'Concanavalin A-like lectin/glucanase domain superfamily', 'Immunoglobulin-like fold', 'B30.2/SPRY domain superfamily']"
AKIRIN2,,
CPT1A,"['IPR042231', 'IPR042232']","['Choline/Carnitine o-acyltransferase, domain 2', 'Choline/Carnitine o-acyltransferase, domain 1']"
TMEM104,"['IPR042231', 'IPR042232']","['Choline/Carnitine o-acyltransferase, domain 2', 'Choline/Carnitine o-acyltransferase, domain 1']"
CNNM3,,
LAMP2,,
ITPRIP,,
SPATA31A7,,
TEX14,['IPR036770'],['Ankyrin repeat-containing domain superfamily']
WDFY1,"['IPR011011', 'IPR013083', 'IPR015943', 'IPR036322']","['Zinc finger, FYVE/PHD-type', 'Zinc finger, RING/FYVE/PHD-type', 'WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
RCBTB1,"['IPR009091', 'IPR011333']","['Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II', 'SKP1/BTB/POZ domain superfamily']"
TEX2,,
ALDH7A1,"['IPR016161', 'IPR016162', 'IPR016163']","['Aldehyde/histidinol dehydrogenase', 'Aldehyde dehydrogenase, N-terminal', 'Aldehyde dehydrogenase, C-terminal']"
AMPH,['IPR027267'],['AH/BAR domain superfamily']
STPG1,,
FAS,['IPR011029'],['Death-like domain superfamily']
SPINT4,['IPR036880'],['Pancreatic trypsin inhibitor Kunitz domain superfamily']
CKAP4,,
PLA1A,['IPR029058'],['Alpha/Beta hydrolase fold']
TUFM,['IPR009000'],"['Translation protein, beta-barrel domain superfamily']"
ZNF833P,['IPR036236'],['Zinc finger C2H2 superfamily']
LOXL1,,
WDR75,['IPR015943'],['WD40/YVTN repeat-like-containing domain superfamily']
CFAP43,['IPR036322'],['WD40-repeat-containing domain superfamily']
MFN1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
SLC44A2,,
CCDC60,,
ARRB1,"['IPR014752', 'IPR014756']","['Arrestin, C-terminal', 'Immunoglobulin E-set']"
MRPL19,"['IPR008991', 'IPR038657']","['Translation protein SH3-like domain superfamily', 'Ribosomal protein L19 superfamily']"
MT2A,"['IPR017854', 'IPR023587']","['Metallothionein domain superfamily', 'Metallothionein domain superfamily, vertebrate']"
FTH1,"['IPR009078', 'IPR012347']","['Ferritin-like superfamily', 'Ferritin-like']"
RNASE12,['IPR036816'],['Ribonuclease A-like domain superfamily']
RNASE10,['IPR036816'],['Ribonuclease A-like domain superfamily']
TMEM270,['IPR036816'],['Ribonuclease A-like domain superfamily']
LGALS3BP,['IPR036772'],['SRCR-like domain superfamily']
RNASE13,['IPR036816'],['Ribonuclease A-like domain superfamily']
IL1R1,"['IPR013783', 'IPR035897', 'IPR036179']","['Immunoglobulin-like fold', 'Toll/interleukin-1 receptor homology (TIR) domain superfamily', 'Immunoglobulin-like domain superfamily']"
COL6A3,"['IPR013783', 'IPR036116', 'IPR036465', 'IPR036880']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily', 'von Willebrand factor A-like domain superfamily', 'Pancreatic trypsin inhibitor Kunitz domain superfamily']"
E4F1,,
MMP9,"['IPR013806', 'IPR024079', 'IPR036365', 'IPR036366', 'IPR036375', 'IPR036943']","['Kringle-like fold', 'Metallopeptidase, catalytic domain superfamily', 'PGBD-like superfamily', 'PGBD superfamily', 'Hemopexin-like domain superfamily', 'Fibronectin type II domain superfamily']"
AGBL5,,
RUSC1-AS1,,
CYB5A,['IPR036400'],['Cytochrome b5-like heme/steroid binding domain superfamily']
GATM,,
BRD2,['IPR036427'],['Bromodomain-like superfamily']
IGKV2D-26,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
GOLGA2,,
DHRS7B,['IPR036291'],['NAD(P)-binding domain superfamily']
GOLGA3,,
PYCR3,['IPR036291'],['NAD(P)-binding domain superfamily']
SLC26A2,['IPR036513'],['STAS domain superfamily']
IL2RB,"['IPR013783', 'IPR036116']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
ARFGEF3,['IPR016024'],['Armadillo-type fold']
IGLV5-52,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
IGKV3D-11,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
TSPO2,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
MT-CYB,"['IPR016174', 'IPR027387', 'IPR036150']","['Di-haem cytochrome, transmembrane', 'Cytochrome b/b6-like domain superfamily', 'Cytochrome b/b6, C-terminal domain superfamily']"
RPL7A,"['IPR029064', 'IPR038524']","['50S ribosomal protein L30e-like', 'Ribosomal protein L7A/L8 superfamily']"
YY1,['IPR036236'],['Zinc finger C2H2 superfamily']
MINOS1,['IPR036236'],['Zinc finger C2H2 superfamily']
WDR63,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
FOXRED2,['IPR036188'],['FAD/NAD(P)-binding domain superfamily']
CPEB3,"['IPR012677', 'IPR035979', 'IPR038446']","['Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily', 'CEBP, ZZ domain superfamily']"
DENND6A,,
HACD1,,
UBE2DNL,,
CCDC83,,
UBE2A,,
SRP9,['IPR009018'],"['Signal recognition particle, SRP9/SRP14 subunit']"
PRTN3,"['IPR009003', 'IPR043504']","['Peptidase S1, PA clan', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
RPL18,['IPR036227'],['Ribosomal L18e/L15P superfamily']
C1QBP,['IPR036561'],['Mitochondrial glycoprotein superfamily']
CENPA,['IPR009072'],['Histone-fold']
CENPF,,
SLC20A2,,
FAM13C,,
NPIPA8,,
ZNF540,['IPR036051'],['KRAB domain superfamily']
FAM114A1,,
DCUN1D3,['IPR042460'],"['DCN1-like, PONY binding domain']"
PLEKHM2,"['IPR011993', 'IPR037213']","['PH-like domain superfamily', 'RUN domain superfamily']"
STKLD1,"['IPR011009', 'IPR016024']","['Protein kinase-like domain superfamily', 'Armadillo-type fold']"
TIGD2,['IPR009057'],['Homeobox-like domain superfamily']
GLUD2,['IPR036291'],['NAD(P)-binding domain superfamily']
CYB561,,
MT1HL1,"['IPR017854', 'IPR023587']","['Metallothionein domain superfamily', 'Metallothionein domain superfamily, vertebrate']"
INPP1,,
,,
SETD9,,
DDR1,"['IPR008979', 'IPR011009']","['Galactose-binding-like domain superfamily', 'Protein kinase-like domain superfamily']"
RNH1,['IPR032675'],['Leucine-rich repeat domain superfamily']
TNFRSF9,['IPR009030'],['Growth factor receptor cysteine-rich domain superfamily']
ZNF439,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
CCDC117,,
MFSD6L,,
NSUN7,,
TMCO4,['IPR029058'],['Alpha/Beta hydrolase fold']
HTR6,,
AHNAK,['IPR036034'],['PDZ superfamily']
CDK18,['IPR011009'],['Protein kinase-like domain superfamily']
IL10RB,"['IPR013783', 'IPR036116']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
HLA-C,"['IPR013783', 'IPR036116']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
BMP1,"['IPR009030', 'IPR024079', 'IPR035914']","['Growth factor receptor cysteine-rich domain superfamily', 'Metallopeptidase, catalytic domain superfamily', 'Spermadhesin, CUB domain superfamily']"
EMD,['IPR011015'],['LEM/LEM-like domain superfamily']
CHRND,"['IPR036719', 'IPR036734']","['Neurotransmitter-gated ion-channel transmembrane domain superfamily', 'Neurotransmitter-gated ion-channel ligand-binding domain superfamily']"
CYBA,,
MAP7D3,,
RGS22,['IPR036305'],['RGS domain superfamily']
AHDC1,,
CDC34,['IPR016135'],['Ubiquitin-conjugating enzyme/RWD-like']
ARHGEF11,"['IPR011993', 'IPR035899', 'IPR036034', 'IPR036305']","['PH-like domain superfamily', 'Dbl homology (DH) domain superfamily', 'PDZ superfamily', 'RGS domain superfamily']"
ERC2,,
ANKRD28,['IPR036770'],['Ankyrin repeat-containing domain superfamily']
MSANTD1,,
,,
PKN3,"['IPR011009', 'IPR036274']","['Protein kinase-like domain superfamily', 'HR1 repeat superfamily']"
,"['IPR011009', 'IPR036274']","['Protein kinase-like domain superfamily', 'HR1 repeat superfamily']"
GYPA,,
MNS1,,
TRIM42,['IPR036116'],['Fibronectin type III superfamily']
BBS7,['IPR036322'],['WD40-repeat-containing domain superfamily']
SUGP1,['IPR035967'],['SWAP/Surp superfamily']
ZNF536,,
KIAA0391,['IPR011990'],['Tetratricopeptide-like helical domain superfamily']
OGFOD2,,
KLHL10,"['IPR011333', 'IPR015915']","['SKP1/BTB/POZ domain superfamily', 'Kelch-type beta propeller']"
FAM71C,,
NBPF14,,
FAM83F,,
NAT6,['IPR016181'],['Acyl-CoA N-acyltransferase']
C7orf57,,
DENND6B,,
ANKHD1,"['IPR036612', 'IPR036770']","['K Homology domain, type 1 superfamily', 'Ankyrin repeat-containing domain superfamily']"
ZSWIM2,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
TRIM48,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
NAA16,,
SCUBE1,"['IPR009030', 'IPR035914']","['Growth factor receptor cysteine-rich domain superfamily', 'Spermadhesin, CUB domain superfamily']"
SRFBP1,,
ZSCAN29,['IPR036236'],['Zinc finger C2H2 superfamily']
CDAN1,,
C22orf39,,
APOH,['IPR035976'],['Sushi/SCR/CCP superfamily']
C9,"['IPR009030', 'IPR036055', 'IPR036383']","['Growth factor receptor cysteine-rich domain superfamily', 'LDL receptor-like superfamily', 'Thrombospondin type-1 (TSP1) repeat superfamily']"
ERVK-6,"['IPR009030', 'IPR036055', 'IPR036383']","['Growth factor receptor cysteine-rich domain superfamily', 'LDL receptor-like superfamily', 'Thrombospondin type-1 (TSP1) repeat superfamily']"
C1QC,['IPR008983'],['Tumour necrosis factor-like domain superfamily']
ERVK-6,,
C1QB,['IPR008983'],['Tumour necrosis factor-like domain superfamily']
CCDC112,,
C1QA,['IPR008983'],['Tumour necrosis factor-like domain superfamily']
APCS,['IPR013320'],['Concanavalin A-like lectin/glucanase domain superfamily']
USP7,"['IPR008974', 'IPR038765']","['TRAF-like', 'Papain-like cysteine peptidase superfamily']"
CRP,['IPR013320'],['Concanavalin A-like lectin/glucanase domain superfamily']
USP9X,"['IPR016024', 'IPR038765']","['Armadillo-type fold', 'Papain-like cysteine peptidase superfamily']"
TMEM71,,
TMEM176B,,
CTAGE8,,
SGPP2,['IPR036938'],['Phosphatidic acid phosphatase type 2/haloperoxidase superfamily']
CTAGE3P,['IPR036938'],['Phosphatidic acid phosphatase type 2/haloperoxidase superfamily']
TTC16,,
UNC45B,,
C7orf65,,
CHERP,"['IPR008942', 'IPR035967']","['ENTH/VHS', 'SWAP/Surp superfamily']"
SLC35D2,"['IPR008942', 'IPR035967']","['ENTH/VHS', 'SWAP/Surp superfamily']"
LIPJ,['IPR029058'],['Alpha/Beta hydrolase fold']
ZNF280D,['IPR029058'],['Alpha/Beta hydrolase fold']
KLHL30-AS1,['IPR029058'],['Alpha/Beta hydrolase fold']
FBXL13,,
SKA3,,
SLC4A1,['IPR016152'],['Phosphotransferase/anion transporter']
SEMA3E,"['IPR013783', 'IPR015943', 'IPR036179', 'IPR036352']","['Immunoglobulin-like fold', 'WD40/YVTN repeat-like-containing domain superfamily', 'Immunoglobulin-like domain superfamily', 'Sema domain superfamily']"
AFP,['IPR020858'],['Serum albumin-like']
U2SURP,"['IPR008942', 'IPR012677', 'IPR035979']","['ENTH/VHS', 'Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily']"
TECPR2,"['IPR009091', 'IPR015943']","['Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II', 'WD40/YVTN repeat-like-containing domain superfamily']"
ART4,,
CCDC54,,
EXT2,,
RBPMS,"['IPR012677', 'IPR035979']","['Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily']"
ALB,['IPR020858'],['Serum albumin-like']
DDHD1,,
TTR,['IPR036817'],['Transthyretin/hydroxyisourate hydrolase domain superfamily']
KHNYN,['IPR036612'],"['K Homology domain, type 1 superfamily']"
AHSG,,
ORM1,['IPR012674'],['Calycin']
AMBP,"['IPR012674', 'IPR036880']","['Calycin', 'Pancreatic trypsin inhibitor Kunitz domain superfamily']"
TRANK1,"['IPR027417', 'IPR036770']","['P-loop containing nucleoside triphosphate hydrolase', 'Ankyrin repeat-containing domain superfamily']"
SYNJ2,"['IPR012677', 'IPR035979']","['Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily']"
COL6A1,['IPR036465'],['von Willebrand factor A-like domain superfamily']
KDM6B,,
PER2,['IPR035965'],['PAS domain superfamily']
FABP2,['IPR012674'],['Calycin']
COL11A1,['IPR013320'],['Concanavalin A-like lectin/glucanase domain superfamily']
LPP,,
COL6A2,['IPR036465'],['von Willebrand factor A-like domain superfamily']
ATP6V0A1,,
GP9,['IPR032675'],['Leucine-rich repeat domain superfamily']
N4BP3,['IPR032675'],['Leucine-rich repeat domain superfamily']
FAM46D,['IPR032675'],['Leucine-rich repeat domain superfamily']
SETD1A,"['IPR012677', 'IPR035979']","['Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily']"
ZNF548,['IPR036236'],['Zinc finger C2H2 superfamily']
RBP4,['IPR012674'],['Calycin']
FN1,"['IPR013783', 'IPR013806', 'IPR036116', 'IPR036943']","['Immunoglobulin-like fold', 'Kringle-like fold', 'Fibronectin type III superfamily', 'Fibronectin type II domain superfamily']"
LRG1,['IPR032675'],['Leucine-rich repeat domain superfamily']
KIAA0355,,
FTL,"['IPR009078', 'IPR012347']","['Ferritin-like superfamily', 'Ferritin-like']"
SYNM,,
ZBTB5,"['IPR011333', 'IPR036236']","['SKP1/BTB/POZ domain superfamily', 'Zinc finger C2H2 superfamily']"
HPX,['IPR036375'],['Hemopexin-like domain superfamily']
PFAS,"['IPR036676', 'IPR036921']","['PurM-like, C-terminal domain superfamily', 'PurM-like, N-terminal domain superfamily']"
MCF2L,"['IPR011993', 'IPR035899', 'IPR036028', 'IPR036865']","['PH-like domain superfamily', 'Dbl homology (DH) domain superfamily', 'SH3-like domain superfamily', 'CRAL-TRIO lipid binding domain superfamily']"
COL16A1,['IPR013320'],['Concanavalin A-like lectin/glucanase domain superfamily']
KIF3B,"['IPR027417', 'IPR036961']","['P-loop containing nucleoside triphosphate hydrolase', 'Kinesin motor domain superfamily']"
IDE,['IPR011249'],"['Metalloenzyme, LuxS/M16 peptidase-like']"
TMEM44,['IPR011249'],"['Metalloenzyme, LuxS/M16 peptidase-like']"
TMEM132D,,
ZBTB39,"['IPR011333', 'IPR036236']","['SKP1/BTB/POZ domain superfamily', 'Zinc finger C2H2 superfamily']"
GAPVD1,"['IPR008936', 'IPR037191']","['Rho GTPase activation protein', 'VPS9 domain superfamily']"
MFSD5,['IPR036259'],['MFS transporter superfamily']
EFCAB6,['IPR011992'],['EF-hand domain pair']
KLRC2,"['IPR016186', 'IPR016187']","['C-type lectin-like/link domain superfamily', 'C-type lectin fold']"
STMN2,['IPR036002'],['Stathmin superfamily']
DUSP18,,
KLRK1,"['IPR016186', 'IPR016187']","['C-type lectin-like/link domain superfamily', 'C-type lectin fold']"
KLRC1,"['IPR016186', 'IPR016187']","['C-type lectin-like/link domain superfamily', 'C-type lectin fold']"
LTF,,
TBRG1,,
TF,,
TFRC,['IPR036757'],"['Transferrin receptor-like, dimerisation domain superfamily']"
NGDN,['IPR036757'],"['Transferrin receptor-like, dimerisation domain superfamily']"
DCLK1,"['IPR011009', 'IPR036572']","['Protein kinase-like domain superfamily', 'Doublecortin domain superfamily']"
SMUG1,,
ADAMTS3,"['IPR024079', 'IPR036383']","['Metallopeptidase, catalytic domain superfamily', 'Thrombospondin type-1 (TSP1) repeat superfamily']"
CEP290,,
SNPH,,
TYSND1,,
CUL5,"['IPR016159', 'IPR036317', 'IPR036388', 'IPR036390']","['Cullin repeat-like-containing domain superfamily', 'Cullin homology domain superfamily', 'Winged helix-like DNA-binding domain superfamily', 'Winged helix DNA-binding domain superfamily']"
