pharos_index,AccessionKeys,Gene_Name,novelty,idgTDL_Tbio,idgTDL_Tchem,idgTDL_Tclin,idgTDL_Tdark,monoclonalCount,antibodyCount,ppiCount,hpm_prot_spec,hpm_gene_spec,hpa_RNA_spec,hpa_prot_spec,GTEx_spec,uniprot_seq_len
1389,Q9NWQ8,PAG1,-1.6964696,1,0,0,0,119,216,1,0.748276,0.748276,0.797222,,0.929167,432
1390,Q8WWQ8,STAB2,-2.818636687,1,0,0,0,20,72,1,0.748276,0.748276,1,,1,2551
1391,Q99929,ASCL2,-1.84292904,1,0,0,0,48,190,,,,0.886111,,0.916667,193
1392,Q9NWQ9,C14orf119,,0,0,0,1,0,19,2,0.958621,0.958621,0.519444,,0.54375,140
1393,Q96QK1,VPS35,-2.026206431,1,0,0,0,10,124,2,0.465517,0.465517,0.522222,0.399543,0.504167,796
1394,Q9BTM9,URM1,-1.430699962,1,0,0,0,15,95,1,0.672414,0.672414,0.472222,0.284722,0.458333,101
1395,Q8WWQ2,HPSE2,-2.520813526,1,0,0,0,6,137,21,0.958621,0.937931,0.966667,,0.929167,592
1396,Q86WR0,CCDC25,-0.036350022,0,0,0,1,0,73,,0.558621,0.558621,0.502778,0.46347,0.491667,208
1397,A6NE52,WDR97,,0,0,0,1,0,2,,,,1,,0.985417,1622
1398,Q9Y5N1,HRH3,-2.761068638,0,0,1,0,23,318,,,,1,,0.916667,445
1399,Q6GTS8,PM20D1,-0.677454859,0,0,0,1,3,23,,0.913793,0.913793,0.966667,,0.997917,502
1400,Q9BTM1,H2AFJ,-0.001719981,0,0,0,1,0,99,,0.465517,0.465517,0.905556,0.342342,0.847917,129
1401,Q3KR37,GRAMD1B,-0.376540086,0,0,0,1,0,39,13,0.862069,0.862069,0.95,0.399306,0.975,738
1402,Q6DKJ4,NXN,-2.543901307,1,0,0,0,3,96,,0.806897,0.596552,0.766667,0.744292,0.76875,435
1403,Q9Y5N6,ORC6,-1.382676995,1,0,0,0,26,165,7,0.937931,0.937931,0.930556,0.707207,0.997917,252
1404,Q86WR7,PROSER2,0.77815125,0,0,0,1,0,43,26,0.958621,0.958621,0.730556,,0.860417,435
1405,Q86WR6,C17orf64,0.301029996,0,0,0,1,0,58,,1,1,1,0.982906,1,236
1406,Q9UKE5,TNIK,-1.333943515,0,1,0,0,17,441,,0.534483,0.534483,0.827778,0.600457,0.710417,1360
1407,Q9Y5N5,N6AMT1,-1.224243525,1,0,0,0,21,138,1,,0.786207,0.597222,,0.76875,214
1408,Q9NX31,OSER1,-0.301029996,0,0,0,1,0,47,2,1,,0.6,0.381944,0.7,292
1409,Q495T6,MMEL1,-1.49215856,0,1,0,0,23,122,,0.913793,0.913793,0.919444,,1,779
1410,Q9NX36,DNAJC28,-1.078068672,1,0,0,0,2,94,2,0.996552,0.996552,0.927083,0.295556,0.916667,388
1411,Q9NWR8,MCUB,-0.764674179,0,0,0,1,0,57,,0.975862,,0.827778,0.658784,0.814583,336
1412,Q9NX38,FAM206A,-1.53760919,0,0,0,1,0,42,6,0.958621,0.958621,0.516667,,0.491667,181
1413,Q8WWP7,GIMAP1,-1.179353436,1,0,0,0,0,51,2,0.503448,0.503448,0.905556,,0.916667,306
1414,Q9BTL4,IER2,-1.292592246,1,0,0,0,19,92,17,,,0.722222,,0.71875,223
1415,Q9BTL3,FAM103A1,-0.24303805,1,0,0,0,0,14,,0.806897,0.806897,0.475,0.091111,0.504167,118
1416,Q86WQ0,NR2C2AP,-0.493690363,1,0,0,0,4,124,,0.57931,0.57931,0.541667,0.603604,0.61875,139
1417,Q9Y600,CSAD,-2.166044361,1,0,0,0,17,134,,0.9,0.9,0.597222,0.456621,0.677083,493
1418,P0CB48,UBTFL6,,0,0,0,1,0,0,,,,,,,400
1419,P0CB47,UBTFL1,,0,0,0,1,0,17,,0.913793,0.913793,0,,1,393
1420,A6NDU8,C5orf51,,0,0,0,1,3,46,,0.482759,0.482759,0.538889,,0.527083,294
1421,Q99909,SSX3,-0.350301869,0,0,0,1,10,80,7,0.913793,0.913793,1,0.9875,1,188
1422,Q9Y608,LRRFIP2,-0.657329072,1,0,0,0,10,129,,0.465517,0.465517,0.547222,,0.539583,721
1423,Q86X27,RALGPS2,-0.167339717,0,0,0,1,39,84,2,0.617241,0.617241,0.95,0.816667,0.870833,583
1424,Q9UKF2,ADAM30,-0.393052647,0,0,0,1,21,64,12,1,1,1,,1,790
1425,Q3KQU3,MAP7D1,0.26626789,0,0,0,1,0,52,,0.624138,0.624138,0.766667,0.75,0.527083,841
1426,Q9UKF7,PITPNC1,-0.742795136,1,0,0,0,2,51,,0.710345,0.710345,0.669444,,0.654167,332
1427,Q86X24,HORMAD1,-1.446561686,1,0,0,0,29,135,,0.9,0.882759,1,0.987342,1,394
1428,Q9UKF6,CPSF3,-1.471815407,1,0,0,0,47,190,,0.482759,0.482759,0.583333,,0.733333,684
1429,Q9Y603,ETV7,-1.528075062,1,0,0,0,33,185,2,1,1,0.844444,,0.916667,341
1430,Q495X7,TRIM60,-0.1638568,0,0,0,1,3,38,,0.996552,0.996552,0.997222,,1,471
1431,Q9NWS0,PIH1D1,-0.841438924,1,0,0,0,25,158,29,0.617241,0.617241,0.475,0.328889,0.470833,290
1432,Q9NX40,OCIAD1,-1.086066415,1,0,0,0,3,152,,0.482759,0.482759,0.508333,0.258216,0.491667,245
1433,Q9UKF5,ADAM29,-1.110511955,1,0,0,0,24,58,,1,1,1,,1,820
1434,Q9Y606,PUS1,-1.666762971,1,0,0,0,8,119,,0.558621,0.558621,0.505556,0.312207,0.539583,427
1435,Q9Y605,MRFAP1,-0.701832624,0,0,0,1,0,44,8,0.768966,0.768966,0.505556,0.814286,0.504167,127
1436,Q9NWS1,PARPBP,-2.152125784,1,0,0,0,0,72,,0.482759,0.482759,0.753086,0.481343,0.975,579
1437,Q9NX45,SOHLH2,-1.265778575,1,0,0,0,7,126,,0.882759,1,1,,1,425
1438,Q9NWS6,FAM118A,-0.045891926,0,0,0,1,0,32,,0.9,0.9,0.777778,,0.6625,357
1439,Q9NX46,ADPRHL2,-0.95744764,1,0,0,0,3,94,,0.465517,0.465517,0.491667,0.407407,0.527083,363
1440,Q9NX47,05-Mar,-1.47832592,1,0,0,0,22,156,2,0.482759,0.482759,0.486111,,0.491667,278
1441,Q9NWS8,RMND1,-0.986149438,1,0,0,0,0,63,,0.627586,0.627586,0.522222,0.486486,0.545833,449
1442,Q9NWS9,ZNF446,0.090919648,0,0,0,1,6,80,,0.975862,0.975862,0.605556,,0.595833,450
1443,Q86X29,LSR,-1.926701854,1,0,0,0,12,89,11,0.672414,0.672414,0.766667,0.655093,0.814583,649
1444,Q96QI5,HS3ST6,-0.318781319,0,0,0,1,0,19,,,0.813793,1,,0.985417,342
1445,P0CAT3,TLX1NB,,0,0,0,1,0,0,,,,,,,122
1446,Q9BTK2,,,0,0,0,1,0,0,,,,,,,45
1447,Q9BTK6,PAGR1,-1.03601584,1,0,0,0,0,59,,0.844828,0.844828,0.583333,,,254
1448,Q9Y5P1,OR51B2,0.124938736,0,0,0,1,0,26,,,,,,,312
1449,Q9Y5P0,OR51B4,0.051152522,0,0,0,1,2,4,,,,0.962963,,0.916667,310
1450,A6NDV4,TMEM8B,-1.347359781,1,0,0,0,2,106,,,,0.752778,0.495495,0.677083,472
1451,Q9Y5P3,RAI2,-1.22054392,0,0,0,1,4,36,3,1,1,0.813889,,0.814583,530
1452,Q9Y613,FHOD1,-1.492166383,1,0,0,0,6,120,,0.558621,0.558621,0.940972,0.815068,0.985417,1164
1453,Q9Y5P2,CSAG3,,0,0,0,1,0,0,,0.844828,0.844828,0.966667,,,127
1454,Q8WWN9,IPCEF1,-0.362700831,1,0,0,0,14,93,4,0.9,0.9,0.95,0.531532,0.939583,437
1455,Q96QH8,SPACA5B,0.136582719,0,0,0,1,0,56,,1,1,1,0.9875,0.997917,159
1456,Q8WWN8,ARAP3,-0.960670368,1,0,0,0,14,85,,0.768966,0.768966,0.75,,0.76875,1544
1457,Q9UKG4,SLC13A4,-1.558856053,1,0,0,0,0,50,,,,1,0.973333,0.975,626
1458,Q9Y619,SLC25A15,-2.215892179,1,0,0,0,2,45,2,0.748276,0.748276,0.930556,0.828829,0.916667,301
1459,Q9Y5P8,PPP2R3B,-1.281897331,1,0,0,0,11,142,1,0.937931,0.937931,0.966667,,0.802083,575
1460,Q9Y618,NCOR2,-2.83392232,0,1,0,0,43,189,3,0.534483,0.534483,0.541667,0.468599,0.595833,2525
1461,Q6BEB4,SP5,0.301029996,0,0,0,1,0,21,,0.862069,0.862069,0.898148,,0.825,398
1462,Q9UKG1,APPL1,-2.753439874,1,0,0,0,11,230,1,0.465517,0.465517,0.502778,0.634703,0.539583,709
1463,Q9Y615,ACTL7A,-0.805562645,1,0,0,0,3,125,,0.975862,0.975862,1,0.987342,1,435
1464,Q495W5,FUT11,-0.02741139,0,0,0,1,1,110,,0.882759,0.882759,0.622222,0.369863,0.660417,492
1465,Q86WP2,GPBP1,-0.50909046,0,0,0,1,0,62,13,0.937931,0.937931,0.538889,0.362613,0.516667,473
1466,Q9Y614,ACTL7B,-1.010723846,1,0,0,0,23,211,,0.975862,0.975862,1,0.966667,1,415
1467,Q9Y5P4,COL4A3BP,-1.843973892,1,0,0,0,27,282,4,0.503448,0.503448,0.522222,,0.527083,624
1468,Q9NWT1,PAK1IP1,-1.020326727,1,0,0,0,2,62,,0.786207,0.786207,0.875,0.072072,0.527083,392
1469,Q9Y617,PSAT1,-2.259260822,1,0,0,0,23,136,1,0.52069,0.52069,0.905556,0.842222,0.825,370
1470,Q9NX52,RHBDL2,-0.712007961,1,0,0,0,6,56,,0.996552,0.996552,0.888889,0.659817,0.929167,303
1471,Q9Y5P6,GMPPB,-1.17282504,1,0,0,0,27,118,5,0.465517,0.465517,0.547222,,0.7,360
1472,Q9Y616,IRAK3,-1.866310392,0,1,0,0,43,427,6,0.975862,0.958621,0.886111,0.59589,0.833333,596
1473,Q86X10,RALGAPB,-2.01397751,1,0,0,0,2,18,1,0.503448,0.503448,0.541667,0.43662,0.572917,1494
1474,Q9NX53,EXD3,-0.456112871,0,0,0,1,0,0,,,,,,,252
1475,A8MWE9,EFCAB8,0.572096768,0,0,0,1,0,3,,,0.672414,1,,1,144
1476,Q9NX55,HYPK,-0.846719906,1,0,0,0,0,4,,0.844828,0.710345,0.530556,,0.710417,129
1477,Q9UKG9,CROT,-1.3338784,1,0,0,0,39,252,5,0.655172,0.655172,0.777778,0.653333,0.7,612
1478,Q9NWT6,HIF1AN,-1.916359445,1,0,0,0,135,429,37,0.57931,0.57931,0.516667,0.416667,0.504167,349
1479,Q9NX57,RAB20,-0.977811155,1,0,0,0,22,171,,0.806897,0.806897,0.658333,,0.802083,234
1480,Q9NWT8,AURKAIP1,-0.079181248,0,1,0,0,3,59,35,0.862069,0.862069,0.472222,0.349315,0.48125,199
1481,Q9NX58,LYAR,-1.228161935,1,0,0,0,8,156,,0.57931,0.57931,1,1,0.985417,379
1482,Q86X19,TMEM17,0.613341002,1,0,0,0,2,52,,0.958621,0.958621,0.708333,,0.641667,198
1483,Q96QH2,PRAM1,-2.185974937,1,0,0,0,2,104,,0.9,0.9,0.980556,0.931507,0.975,718
1484,Q86X83,COMMD2,0.602059991,0,0,0,1,2,32,11,0.482759,0.482759,0.536111,,0.527083,199
1485,Q9Y5I2,PCDHA10,0.602059991,0,0,0,1,27,122,18,,,0.966667,,0.870833,948
1486,Q9Y5I1,PCDHA11,-0.583576578,0,0,0,1,13,32,8,0.937931,0.937931,0.966667,,0.9625,949
1487,Q495Z4,ASB16-AS1,,0,0,0,1,0,0,,,,,,,193
1488,Q9Y5I4,PCDHAC2,-0.185636579,0,0,0,1,13,134,35,0.844828,0.844828,1,,0.939583,1007
1489,Q9Y5I3,PCDHA1,-0.524504308,0,0,0,1,10,87,,0.996552,0.996552,0.997222,0.972603,0.90625,950
1490,Q9Y5I0,PCDHA13,0.372385905,0,0,0,1,0,6,,0.806897,0.806897,1,,0.975,950
1491,Q86WW8,COA5,-0.77512479,0,0,0,1,0,3,,0.710345,0.710345,0.508333,,0.489583,74
1492,A6NE82,MBD3L3,,0,0,0,1,0,56,,,,1,,1,208
1493,Q8WWU5,TCP11,-1.261523792,1,0,0,0,36,80,,0.975862,0.975862,1,0.991667,1,503
1494,Q99965,ADAM2,-2.163984938,1,0,0,0,44,148,9,0.975862,0.975862,1,0.975,1,735
1495,Q99962,SH3GL2,-1.795399031,1,0,0,0,53,248,4,0.482759,0.482759,1,0.928889,0.975,352
1496,Q99963,SH3GL3,-1.039623655,1,0,0,0,3,97,1,0.768966,0.768966,0.997222,0.99177,0.870833,347
1497,P17900,GM2A,-2.039521136,1,0,0,0,27,325,1,0.482759,0.482759,0.658333,0.396135,0.75625,193
1498,Q9NWM0,SMOX,-3.095127639,1,0,0,0,0,58,6,1,1,0.85,0.362222,0.745833,555
1499,Q99961,SH3GL1,-2.15479402,1,0,0,0,108,257,,0.482759,0.482759,0.641667,0.458904,0.7,368
1500,Q9NWM3,CUEDC1,-0.342422685,0,0,0,1,6,81,16,,0.862069,0.644444,0.391892,0.61875,386
1501,Q9Y5I7,CLDN16,-1.982476268,1,0,0,0,25,138,,,,0.997222,1,0.985417,305
1502,Q96R09,OR5B2,,0,0,0,1,0,1,,,,1,,0.939583,309
1503,Q96R08,OR5B12,,0,0,0,1,58,145,2,,,0,,0.947917,314
1504,Q96R05,RBP7,-0.86335292,1,0,0,0,6,89,,0.693103,0.693103,0.930556,0.560811,0.975,134
1505,Q9NWM8,FKBP14,-1.72245817,1,0,0,0,20,157,,0.786207,0.786207,0.663889,,0.7,211
1506,Q99969,RARRES2,-2.417719544,1,0,0,0,75,196,4,0.672414,0.672414,0.95,,0.90625,163
1507,Q99966,CITED1,-1.741302868,1,0,0,0,125,210,20,1,1,1,0.952703,0.997917,193
1508,Q8WWU7,ITLN2,-0.88188014,1,0,0,0,4,88,1,0.913793,0.913793,0.997222,0.957746,0.997917,325
1509,Q96R06,SPAG5,-1.727427212,1,0,0,0,23,136,,0.913793,0.913793,0.980556,0.46,0.985417,1193
1510,Q99967,CITED2,-2.077598957,1,0,0,0,23,167,2,1,1,0.844444,0.123874,0.883333,270
1511,Q86WV5,TEN1,-2.18181767,1,0,0,0,1,8,1,,,0.491667,,0.61875,123
1512,A6NDX5,ZNF840P,,0,0,0,1,0,0,,,,,,,716
1513,Q3KQV9,UAP1L1,0.903089987,0,0,0,1,1,70,,0.503448,0.503448,0.538889,0.392694,0.61875,507
1514,Q9BU20,RSG1,-1.329252585,0,0,0,1,10,31,2,0.937931,0.937931,0.622222,0.160959,0.585417,258
1515,Q86WV1,SKAP1,-1.315273188,1,0,0,0,34,175,49,0.534483,0.534483,0.827778,0.941441,0.9625,359
1516,Q9BU23,LMF2,-0.22184875,0,0,0,1,0,91,,0.482759,0.482759,0.505556,0.623333,0.641667,707
1517,Q9Y5J3,HEY1,-2.283978283,1,0,0,0,215,335,,,,0.980556,,0.75625,304
1518,P05937,CALB1,-3.319564764,1,0,0,0,63,287,,0.655172,0.655172,1,0.986486,0.9625,261
1519,Q9Y5J5,PHLDA3,-0.839001185,1,0,0,0,5,101,,0.882759,0.882759,0.697222,0.256849,0.814583,127
1520,Q9UKA2,FBXL4,-1.138049117,1,0,0,0,11,82,29,0.975862,0.975862,0.538889,0.431111,0.585417,621
1521,Q9UKA1,FBXL5,-1.256841576,1,0,0,0,7,145,23,,,0.538889,,0.489583,691
1522,Q495Y7,SPDYE7P,,0,0,0,1,0,0,,,,,,,208
1523,Q9Y5J1,UTP18,-0.504880619,0,0,0,1,16,52,,0.617241,0.617241,0.538889,0.585586,0.7,556
1524,Q495Y8,SPDYE2,,0,0,0,1,1,3,,,,0.920635,0.991667,0.847917,402
1525,Q86X76,NIT1,-2.209292009,1,0,0,0,29,159,23,0.465517,0.465517,0.508333,0.683575,0.516667,327
1526,Q86WV6,TMEM173,-2.377215239,1,0,0,0,191,450,1,0.465517,0.465517,0.722222,0.687215,0.791667,379
1527,Q3KQV3,ZNF792,,0,0,0,1,3,24,,,,0.611111,0.207763,0.75625,632
1528,A6NDX4,,,0,0,0,1,0,0,,,,,,,124
1529,Q99954,SMR3A,-1.784956793,0,0,0,1,0,20,2,,,1,1,0.997917,134
1530,Q9UKA4,AKAP11,-1.024149311,1,0,0,0,2,38,,0.672414,0.672414,0.591667,0.480676,0.54375,1901
1531,Q99952,PTPN18,-0.772407456,1,0,0,0,3,77,,0.9,0.9,0.644444,,0.677083,460
1532,Q9Y5J7,TIMM9,-1.317027123,1,0,0,0,26,72,,0.482759,0.482759,0.469444,0.371622,0.504167,89
1533,Q9Y5J6,TIMM10B,0.106053391,0,0,0,1,20,53,1,0.596552,0.596552,0.519444,0.497717,0.4875,103
1534,Q9UKA9,PTBP2,-2.052611376,1,0,0,0,35,151,,0.465517,0.465517,0.75,,0.54375,531
1535,Q9UKA8,RCAN3,-0.772316922,1,0,0,0,18,203,9,0.913793,0.882759,0.844444,0.922374,0.914352,241
1536,Q9Y5J9,TIMM8B,-1.466492436,1,0,0,0,37,54,,0.748276,0.748276,0.488889,0.52027,0.48125,83
1537,Q9NWN3,FBXO34,,0,0,0,1,2,90,5,0.975862,0.975862,0.513889,,0.604167,711
1538,Q9BU19,ZNF692,-1.121942677,0,0,0,1,3,25,27,0.996552,0.996552,0.638889,,0.677083,519
1539,Q9BTP7,FAAP24,-0.734024156,1,0,0,0,0,20,1,0.996552,,0.683333,,0.916667,215
1540,Q8WWT9,SLC13A3,-1.473625567,1,0,0,0,7,92,,0.996552,0.768966,1,1,0.985417,602
1541,Q99959,PKP2,-2.103554256,1,0,0,0,23,243,,0.617241,0.57931,0.905556,0.737443,0.939583,881
1542,Q9BTP6,ZBED2,0.613341002,0,0,0,1,2,51,,0.813793,0.813793,0.997222,,0.997917,218
1543,Q99958,FOXC2,-2.234354539,1,0,0,0,180,419,,1,1,0.836111,,0.975,501
1544,Q99956,DUSP9,-1.15238157,1,0,0,0,20,202,,0.882759,0.882759,0.997222,0.992857,0.997917,384
1545,Q6DKK2,TTC19,-0.953706031,1,0,0,0,2,38,,,0.57931,0.516667,0.386667,0.48125,380
1546,Q86WU2,LDHD,-1.429572887,1,0,0,0,3,156,6,0.693103,0.693103,0.808333,0.5,0.802083,507
1547,Q86X60,FAM72B,0.954242509,0,0,0,1,0,0,,,,0.888889,,0.9625,149
1548,Q9Y5K3,PCYT1B,-1.469366096,1,0,0,0,7,40,,0.503448,0.503448,0.97619,,0.835417,369
1549,A6NDY0,PABPN1L,-0.161368004,0,0,0,1,1,53,,0.617241,0.617241,0.940972,,0.975,278
1550,Q9Y5K6,CD2AP,-3.445329165,1,0,0,0,1,82,,0.503448,0.503448,0.613889,0.495495,0.658333,639
1551,Q9Y5K5,UCHL5,-1.716871166,1,0,0,0,27,225,37,0.465517,0.465517,0.463889,0.294521,0.489583,329
1552,Q9UKB3,DNAJC12,-0.864351306,1,0,0,0,4,51,,0.882759,0.882759,0.888889,0.511416,0.90625,198
1553,Q00341,HDLBP,-2.012276101,1,0,0,0,17,233,,0.465517,0.465517,0.469444,0.628378,0.641667,1268
1554,A6NDY2,FAM90A10P,,0,0,0,1,0,0,,,,,,,464
1555,Q86X67,NUDT13,-0.24303805,0,0,0,1,8,44,1,0.996552,0.996552,0.472222,0.760274,0.595833,352
1556,Q9UKB1,FBXW11,-0.758872676,1,0,0,0,18,183,42,0.748276,0.748276,0.569444,0.551111,0.504167,542
1557,Q9Y5K2,KLK4,-3.661762701,0,1,0,0,40,196,1,,,1,1,1,254
1558,Q9Y5K1,SPO11,-2.332625507,1,0,0,0,2,148,,0.958621,0.958621,1,,1,396
1559,Q5XKK7,FAM219B,,0,0,0,1,0,8,6,1,1,0.536111,0.93018,0.545833,198
1560,Q99942,RNF5,-1.200538348,1,0,0,0,2,166,6,0.672414,0.672414,0.516667,,0.458333,180
1561,Q99943,AGPAT1,-1.041749457,1,0,0,0,3,88,1,0.482759,0.482759,0.719444,0.216216,0.491667,283
1562,Q9NX00,TMEM160,0.382764046,0,0,0,1,0,10,,0.655172,0.655172,0.775,,0.572917,188
1563,Q9UKB5,AJAP1,-1.209066342,1,0,0,0,0,25,,0.996552,0.996552,0.97619,,0.860417,411
1564,Q01668,CACNA1D,-2.434478024,0,0,1,0,133,215,4,0.724138,0.724138,0.872222,,0.8875,2161
1565,Q99941,ATF6B,-1.034587085,1,0,0,0,0,6,6,1,1,0.611111,,0.595833,703
1566,Q9NX01,TXNL4B,-2.207725306,1,0,0,0,2,44,4,0.913793,0.913793,0.519444,,0.527083,149
1567,Q9Y5K8,ATP6V1D,-1.488120915,1,0,0,0,24,69,22,0.465517,0.465517,0.6,0.870892,0.504167,247
1568,Q9NX02,NLRP2,-1.821456413,1,0,0,0,16,245,,0.52069,0.52069,0.75,,0.9625,1062
1569,Q3KQZ1,SLC25A35,0.228479328,0,0,0,1,2,42,2,0.693103,0.693103,0.611111,,0.825,300
1570,Q9NX04,C1orf109,0.259637311,0,0,0,1,0,38,,0.844828,0.844828,0.505556,0.595238,0.527083,203
1571,Q01664,TFAP4,-1.333836058,1,0,0,0,80,276,18,0.862069,0.862069,0.594444,0.52381,0.733333,338
1572,Q9NX05,FAM120C,-1.260866047,1,0,0,0,0,56,,,0.748276,0.616667,,0.54375,1096
1573,Q9NX07,TRNAU1AP,-1.691298597,1,0,0,0,3,106,1,0.862069,0.862069,0.516667,,0.539583,287
1574,Q9NX08,COMMD8,0.322219295,0,0,0,1,3,56,27,0.503448,0.503448,0.513889,0.36036,0.545833,183
1575,Q9NX09,DDIT4,-2.114967453,1,0,0,0,8,231,,0.975862,0.975862,0.752778,0.219178,0.802083,232
1576,Q99946,PRRT1,-1.333751103,1,0,0,0,0,68,,0.958621,0.958621,1,0.986111,0.90625,306
1577,Q99944,EGFL8,-1.650029903,0,0,0,1,3,50,6,0.996552,0.996552,0.819444,,0.916667,293
1578,Q86X53,ERICH1,0.346787486,0,0,0,1,0,18,,0.882759,0.882759,0.511111,0.775362,0.595833,443
1579,Q86X52,CHSY1,-1.690818196,1,0,0,0,0,101,,0.768966,0.768966,0.722222,,0.775,802
1580,A6NDZ8,MBD3L4,,0,0,0,1,0,0,,,,1,,0,208
1581,Q86WT1,TTC30A,0.602059991,0,0,0,1,3,57,15,0.882759,0.882759,0.827778,0.951111,0.90625,665
1582,Q86X51,CXorf67,0.258045027,0,0,0,1,1,20,,,,0.997222,0.942387,0.975,503
1583,Q9BU02,THTPA,-1.532966549,1,0,0,0,66,119,4,0.534483,0.534483,0.505556,0.373874,0.516667,230
1584,Q9Y5L5,LENEP,-0.795880017,0,0,0,1,0,10,,,,0.988889,,0.825,61
1585,Q9Y5L4,TIMM13,-1.909303288,1,0,0,0,8,32,,0.482759,0.482759,0.461111,,0.470833,95
1586,Q86X59,C17orf82,,0,0,0,1,0,0,,,,,,,251
1587,Q5XKL5,BTBD8,0.301029996,0,0,0,1,3,17,1,,,0.768519,,,378
1588,Q86WT6,TRIM69,-0.523114704,1,0,0,0,7,253,7,0.996552,0.996552,1,1,0.604167,500
1589,Q9Y5L0,TNPO3,-1.747069337,1,0,0,0,13,105,,0.482759,0.482759,0.486111,0.42723,0.61875,923
1590,Q86X55,CARM1,-2.040341966,0,1,0,0,62,476,,0.482759,0.482759,0.522222,0.384259,0.545833,608
1591,Q9Y5L3,ENTPD2,-2.376129699,0,1,0,0,4,150,,0.882759,0.882759,0.825,0.5,0.947917,495
1592,Q9Y5L2,HILPDA,-1.242050523,1,0,0,0,0,18,,0.996552,0.996552,0.902778,0.434028,0.870833,63
1593,Q99932,SPAG8,-0.962718756,1,0,0,0,5,158,,0.958621,0.958621,0.997222,0.929167,0.929167,426
1594,Q01658,DR1,-2.511347772,1,0,0,0,4,146,15,0.534483,0.534483,0.522222,0.413333,0.595833,176
1595,Q9NX14,NDUFB11,-2.1837587,0,0,1,0,54,86,35,0.465517,0.465517,0.472222,0.293981,0.45625,153
1596,Q00325,SLC25A3,-2.8542599,1,0,0,0,2,33,,0.465517,0.465517,0.491667,,0.504167,362
1597,Q9UKC9,FBXL2,-0.893386679,1,0,0,0,1,129,,0.882759,0.806897,0.788194,,0.71875,423
1598,Q02985,CFHR3,-1.539533059,1,0,0,0,0,30,2,0.57931,0.57931,1,,1,330
1599,Q8WWR9,PPDPFL,1,0,0,0,1,0,14,1,,,1,,1,84
1600,Q8WX39,LCN9,-0.474701782,0,0,0,1,0,61,,1,1,0.980556,1,0.88125,176
1601,Q9NX18,SDHAF2,-1.864652959,1,0,0,0,1,34,,0.882759,0.882759,0.466667,0.270833,0.458333,166
1602,Q8WWR8,NEU4,-1.39624047,0,1,0,0,0,115,10,0.975862,0.975862,0.919444,,0.883333,484
1603,Q99935,OPRPN,-1.760191931,0,0,0,1,1,15,,,,0.997222,1,1,248
1604,Q6R327,RICTOR,-2.794541199,1,0,0,0,138,440,,0.617241,0.617241,0.505556,0.479167,0.654167,1708
1605,Q99933,BAG1,-2.502517463,1,0,0,0,80,394,,0.617241,0.617241,0.472222,0.538288,0.470833,345
1606,Q14964,RAB39A,-0.577874608,0,0,0,1,2,68,,0.655172,0.655172,0.925926,,0.870833,217
1607,Q9NWH7,SPATA6,-1.674861121,1,0,0,0,0,62,1,1,1,0.966667,,0.939583,488
1608,Q9NWH9,SLTM,-0.519765515,0,0,0,1,7,111,,0.52069,0.52069,0.488889,0.14554,0.527083,1034
1609,Q13630,TSTA3,-1.165625844,1,0,0,0,49,231,1,0.465517,0.465517,0.538889,0.63964,0.604167,321
1610,Q7KZN9,COX15,-1.375126285,1,0,0,0,19,104,,0.57931,0.57931,0.508333,,0.491667,410
1611,Q13637,RAB32,-1.466602806,1,0,0,0,7,127,6,0.558621,0.558621,0.736111,0.56621,0.802083,225
1612,Q13636,RAB31,-1.129781265,1,0,0,0,9,109,8,0.482759,0.482759,0.844444,0.502315,0.660417,194
1613,Q8WWI5,SLC44A1,-1.607962902,1,0,0,0,114,212,,0.503448,0.503448,0.697222,,0.8,657
1614,Q96QC0,PPP1R10,-1.718432847,1,0,0,0,11,110,,0.627586,0.627586,0.525,0.484444,0.516667,940
1615,Q05BQ5,MBTD1,-0.593140569,0,0,0,1,7,83,,0.882759,0.882759,0.641667,0.65493,0.677083,628
1616,Q14966,ZNF638,-0.689456858,1,0,0,0,0,67,,0.534483,0.534483,0.505556,0.312785,0.516667,1978
1617,P52272,HNRNPM,-1.644430296,1,0,0,0,144,331,,0.465517,0.465517,0.508333,0.013514,0.539583,730
1618,Q13635,PTCH1,-3.046370761,1,0,0,0,145,452,59,0.748276,0.748276,0.85,,0.975,1447
1619,Q13634,CDH18,-0.648972503,0,0,0,1,41,125,,1,1,0.997222,,0.939583,790
1620,A8MWL7,TMEM14DP,0.477121255,0,0,0,1,0,0,,,,,,,114
1621,Q13639,HTR4,-2.872354291,0,0,1,0,6,248,,,,0.930556,0.897778,0.90625,388
1622,A8MWL6,,-0.694329756,0,0,0,1,0,0,,,,,,,223
1623,Q9BTE6,AARSD1,0.602059991,0,0,0,1,2,53,35,0.534483,,0.885802,0.800926,0.545833,412
1624,Q9Y5E6,PCDHB3,-0.195920609,0,0,0,1,9,89,17,0.913793,0.913793,0.817901,,0.791667,796
1625,Q9Y5E5,PCDHB4,0.731264916,0,0,0,1,0,25,,0.913793,0.913793,0.797222,0.42619,0.677083,795
1626,Q86WK9,PAQR7,-1.892119428,1,0,0,0,2,122,,0.937931,0.937931,0.797222,0.522831,0.8875,346
1627,Q9Y5E8,PCDHB15,0.514909815,0,0,0,1,10,117,,0.937931,0.937931,0.814815,,0.802083,787
