AccessionKeys,Gene_Name,novelty,idgTDL_Tbio,idgTDL_Tchem,idgTDL_Tclin,idgTDL_Tdark,monoclonalCount,antibodyCount,ppiCount,hpm_prot_spec,hpm_gene_spec,hpa_RNA_spec,hpa_prot_spec,GTEx_spec,uniprot_seq_len
Q99707,MTR,-2.568995079,1,0,0,0,2,87,,0.534483,0.534483,0.597222,0.568889,0.658333,1265
Q99704,DOK1,-1.650457896,1,0,0,0,6,676,1,0.862069,0.844828,0.683333,0.557078,0.833333,481
Q99705,MCHR1,-2.470662059,0,1,0,0,29,225,1,,,0.997222,,0.939583,422
O95819,MAP4K4,-2.190640983,0,1,0,0,143,547,,0.503448,0.503448,0.736111,,0.814583,1239
Q86UP0,CDH24,0.018483405,1,0,0,0,0,83,,0.913793,0.913793,0.740741,,0.825,819
Q8N9R0,LINC00304,,0,0,0,1,0,0,,,,,,,145
Q8N9R6,CDRT4,,0,0,0,1,0,0,,,,0.905556,,0.75625,151
Q9BRK0,REEP2,-0.377184787,0,0,0,1,82,159,2,0.882759,0.882759,0.997222,0.86036,0.870833,252
O95822,MLYCD,-1.704338135,0,1,0,0,3,67,,0.503448,0.503448,0.40625,0.621622,0.63125,493
Q9HBZ2,ARNT2,-1.685875231,1,0,0,0,24,212,7,0.958621,0.958621,1,0.820946,0.860417,717
Q86UP9,LHFPL3,-0.423895722,0,0,0,1,0,47,,1,1,1,,0.90625,236
Q86UP8,GTF2IRD2,-0.454844864,1,0,0,0,3,58,,,0.617241,0.475,,0.75625,949
Q8N9R8,SCAI,-2.495402742,1,0,0,0,6,22,,0.710345,0.710345,0.688889,0.438095,0.572917,606
Q86UP6,CUZD1,-1.104129301,1,0,0,0,15,95,,0.996552,0.996552,1,1,1,607
Q02750,MAP2K1,-3.071967919,0,0,1,0,721,2448,,0.465517,0.465517,0.522222,0.524306,0.527083,393
Q86V15,CASZ1,-2.021750988,1,0,0,0,0,137,,0.958621,0.958621,0.811111,0.739583,0.883333,1759
Q86UP3,ZFHX4,-0.86069078,1,0,0,0,22,40,,0.558621,0.558621,0.930556,,0.833333,3567
Q86UP2,KTN1,-1.934109333,1,0,0,0,1,89,,0.465517,0.465517,0.522222,0.108108,0.504167,1357
Q01415,GALK2,-1.258665815,1,0,0,0,2,203,8,0.503448,0.503448,0.522222,,0.54375,458
Q02747,GUCA2A,-1.926669206,1,0,0,0,12,137,,0.996552,0.996552,0.980556,0.965278,0.997917,115
Q9NUL3,STAU2,-1.260099804,1,0,0,0,97,176,,0.558621,0.558621,0.491667,0.371429,0.504167,570
Q02742,GCNT1,-1.964166176,1,0,0,0,2,191,4,0.937931,0.937931,0.95,,0.9625,428
Q9NUL5,C19orf66,-0.199572353,0,0,0,1,0,23,10,0.596552,0.596552,0.580556,0.50939,0.604167,291
Q8WUN7,UBTD2,-0.657746174,1,0,0,0,32,116,4,0.710345,0.710345,0.591667,,0.791667,234
Q9NUL7,DDX28,-0.618048088,1,0,0,0,2,109,11,0.748276,0.748276,0.466667,0.700913,0.654167,540
Q9BRJ2,MRPL45,0.509305938,0,0,0,1,0,0,,,0.465517,,,,306
O95825,CRYZL1,-1.37950697,1,0,0,0,43,157,,0.52069,0.52069,0.522222,0.317778,0.527083,349
Q9HBY8,SGK2,-0.806718193,0,1,0,0,71,223,4,0.534483,0.534483,0.875,,0.916667,427
Q9BRJ9,MESP1,-1.385355212,1,0,0,0,78,208,,,,0.966667,,0.825,268
Q9BRJ7,NUDT16L1,-1.544068023,1,0,0,0,5,44,2,0.465517,0.465517,0.475,0.306306,0.470833,211
Q9BRJ6,C7orf50,0.477121255,0,0,0,1,0,87,,0.558621,0.558621,0.522222,0.392694,0.504167,194
P53367,ARFIP1,-0.442579305,1,0,0,0,9,199,,0.465517,0.465517,0.536111,0.567568,0.654167,373
Q14722,KCNAB1,-1.734411045,1,0,0,0,110,218,1,0.768966,0.748276,0.930556,0.771144,0.939583,419
O95831,AIFM1,-1.740722043,1,0,0,0,73,637,8,0.465517,0.465517,0.736111,0.63964,0.504167,613
Q9NUD5,ZCCHC3,,0,0,0,1,7,38,,0.806897,0.806897,0.519444,,,404
Q14721,KCNB1,-2.574839264,0,0,1,0,77,303,,0.958621,0.958621,0.927083,0.973333,0.860417,858
Q9NUD7,C20orf96,0.954242509,0,0,0,1,0,28,1,,,0.827778,,0.775,363
P53365,ARFIP2,-2.078827701,1,0,0,0,31,194,1,0.503448,0.503448,0.538889,0.689189,0.516667,341
Q8WUE5,CT55,-0.508690004,0,0,0,1,3,20,12,1,,1,,1,264
Q9NUD9,PIGV,-1.075648338,1,0,0,0,2,71,,0.9,0.9,0.719444,,0.775,493
O95835,LATS1,-2.31749211,1,0,0,0,24,253,7,0.627586,0.627586,0.536111,0.413242,0.63125,1130
O95834,EML2,-0.804561276,0,0,0,1,18,93,,0.465517,0.465517,0.766667,0.378378,0.572917,649
O95833,CLIC3,-1.019956566,1,0,0,0,50,180,,0.810345,0.810345,0.95,0.75,0.9625,236
O95832,CLDN1,-2.076256157,1,0,0,0,93,593,,0.748276,0.748276,0.930556,0.738739,0.947917,211
Q14728,MFSD10,-2.175259947,1,0,0,0,0,66,,0.558621,0.558621,0.613889,,0.63125,455
Q8N9I0,SYT2,-1.935025283,1,0,0,0,28,222,,0.786207,0.786207,0.927083,0.985915,0.997917,419
Q8N9I5,FADS6,0.477121255,0,0,0,1,0,0,,,0.996552,0.930556,,0.916667,356
A8MYP8,ODF3B,0.109144471,0,0,0,1,0,66,,,,0.919444,0.973333,0.772917,253
Q9Y3A4,RRP7A,0.602059991,0,0,0,1,0,88,9,0.655172,0.655172,0.533333,0.904762,0.479167,280
Q8N9H8,EXD3,-0.456112871,0,0,0,1,0,67,,0.882759,0.882759,0.538889,0.640845,0.658333,876
Q9Y3A3,MOB4,-1.364587033,1,0,0,0,5,114,,0.465517,0.465517,0.519444,0.386574,0.516667,225
Q8N9H9,C1orf127,,0,0,0,1,0,0,2,,0.882759,0.997222,,0.975,656
Q8N9H6,C8orf31,0.602059991,0,0,0,1,0,0,,0.958621,0.958621,,,,132
Q9Y3A6,TMED5,-0.271066769,1,0,0,0,2,29,,0.52069,0.503448,0.536111,0.636986,0.547917,229
Q9BRA2,TXNDC17,-1.668932841,1,0,0,0,8,59,,0.465517,0.465517,0.541667,0.578829,0.75625,123
Q9Y3A5,SBDS,-2.242330725,1,0,0,0,40,139,,0.465517,0.465517,0.488889,0.468468,0.570833,250
Q9Y3A0,COQ4,-1.171610365,1,0,0,0,2,26,,0.996552,0.996552,0.519444,0.237778,0.516667,265
Q86UG4,SLCO6A1,-1.232048656,1,0,0,0,0,67,12,1,1,1,0.975309,1,719
Q9HC16,APOBEC3G,-2.785100545,1,0,0,0,60,477,,0.786207,0.786207,0.813889,0.729167,0.9625,384
Q9Y3A2,UTP11,-0.539094283,1,0,0,0,14,84,3,0.748276,,0.488889,0.269048,0.5375,253
P53370,NUDT6,-1.713005823,1,0,0,0,69,157,8,0.813793,0.813793,0.597222,,0.504167,316
O95838,GLP2R,-1.458553561,0,0,1,0,43,221,1,,,0.919444,0.885135,0.939583,553
P39060,COL18A1,-3.183394178,1,0,0,0,109,433,,0.57931,0.57931,0.736111,0.424658,0.929167,1754
Q9NUE0,ZDHHC18,0.380211242,0,0,0,1,2,61,,0.958621,0.958621,0.661111,0.623288,0.6875,388
Q9UHW5,GPN3,-0.464886802,0,0,0,1,3,35,27,0.786207,0.748276,0.547222,,0.61875,284
O95837,GNA14,-0.786091978,1,0,0,0,11,142,,0.465517,0.465517,0.811111,0.678082,0.870833,355
Q0ZLH3,PJVK,-1.158733343,1,0,0,0,0,55,,1,,0.997222,,0.9625,352
Q9BRA0,NAA38,-0.322465424,0,0,0,1,2,32,5,0.958621,0.482759,0.472222,,0.489583,125
P15090,FABP4,-2.73935391,0,1,0,0,142,605,,0.627586,0.627586,1,0.990991,0.985417,132
Q9UHW9,SLC12A6,-1.739430652,1,0,0,0,2,161,,0.534483,0.534483,0.752778,,0.802083,1150
Q9HC10,OTOF,-2.057433927,1,0,0,0,9,45,,0.503448,0.503448,0.980556,0.905405,0.985417,1997
Q13402,MYO7A,-2.147128586,1,0,0,0,19,129,,0.558621,0.558621,0.95,,0.9625,2215
O95841,ANGPTL1,-1.270288392,1,0,0,0,55,252,,0.913793,0.913793,0.888889,0.614865,0.860417,491
Q8WUD6,CHPT1,-1.423128834,1,0,0,0,2,80,,0.806897,0.806897,0.566667,0.524306,0.516667,406
Q13401,PMS2P3,-2.192990908,0,0,0,1,0,0,,,,,,,168
Q8WUD4,CCDC12,-0.094421213,0,0,0,1,4,92,14,,0.596552,0.472222,0.30137,0.48125,166
A4UGR9,XIRP2,-0.941150441,1,0,0,0,0,17,,0.806897,0.558621,0.997222,,1,3374
Q8WUD1,RAB2B,-0.543032779,0,0,0,1,25,171,34,0.465517,0.465517,0.519444,,0.504167,216
Q13405,MRPL49,-2.763666834,1,0,0,0,2,76,,0.482759,0.482759,0.519444,0.534247,0.5625,166
Q13404,UBE2V1,-1.331534687,1,0,0,0,4,188,,0.465517,0.465517,0.472222,,0.470833,147
O95843,GUCA1C,0.022276395,0,0,0,1,19,125,,1,1,0.980556,0.979452,0.997917,209
Q13409,DYNC1I2,-2.296338125,1,0,0,0,15,104,4,0.465517,0.465517,0.536111,0.248889,0.539583,638
Q14739,LBR,-3.029606628,1,0,0,0,10,134,3,0.482759,0.482759,0.641667,0.828704,0.75625,615
Q14738,PPP2R5D,-0.708427017,1,0,0,0,41,261,,0.503448,0.503448,0.522222,0.633333,0.504167,602
A6NGA9,TMEM202,,0,0,0,1,0,11,,1,1,1,,1,273
Q9Y3B4,SF3B6,-0.659640472,1,0,0,0,2,100,,0.482759,,0.508333,0.488095,0.527083,125
Q9Y3B7,MRPL11,-0.635547562,0,0,0,1,37,198,,0.465517,0.465517,0.472222,0.571111,0.572917,192
Q9Y3B6,EMC9,0.84509804,0,0,0,1,3,24,9,1,1,0.469444,,0.489583,208
Q86UF4,CCDC190,0.447158031,0,0,0,1,0,69,,1,,0.980556,,0.975,302
P39059,COL15A1,-1.187163086,1,0,0,0,20,74,,0.57931,0.57931,0.930556,0.942222,0.833333,1388
Q8N9G6,,,0,0,0,1,0,0,,,,,,,341
Q9Y3B1,PRELID3B,-0.159700844,0,0,0,1,0,80,,0.958621,,0.569444,,0.572917,194
A6NGB0,TMEM191C,,0,0,0,1,0,0,,1,1,1,,1,347
Q9UHX3,ADGRE2,-1.678620325,1,0,0,0,106,312,,0.627586,,0.980556,,0.985417,823
Q86UF2,CTAGE6,,0,0,0,1,2,27,2,0.596552,0.596552,1,,1,777
Q9Y3B3,TMED7,-0.233177481,0,0,0,1,1,18,36,0.465517,0.465517,0.547222,0.537778,0.5625,224
Q86UF1,TSPAN33,-2.462248887,1,0,0,0,22,135,4,0.958621,0.958621,0.888889,0.703196,0.939583,283
Q9UHX1,PUF60,-1.437537258,1,0,0,0,59,285,9,0.482759,0.482759,0.508333,0.146667,0.48125,559
Q9HC07,TMEM165,-1.560105929,1,0,0,0,0,89,,0.534483,0.534483,0.569444,0.295556,0.641667,324
Q9Y3B2,EXOSC1,-2.07437803,1,0,0,0,39,129,17,0.57931,0.57931,0.491667,0.3125,0.470833,195
O95848,NUDT14,-0.676079683,0,0,0,1,0,45,,0.655172,0.655172,0.688889,0.407658,0.63125,222
P42694,HELZ,-1.502087801,1,0,0,0,42,63,,0.710345,0.710345,0.566667,0.619369,0.595833,1942
O95847,SLC25A27,-1.539359955,1,0,0,0,0,51,,0.958621,0.958621,0.794444,,0.802083,323
Q9UI95,MAD2L2,-1.692270618,1,0,0,0,4,111,1,,,0.6,0.555556,0.572917,211
Q9Y3B9,RRP15,-0.131179523,0,0,0,1,2,33,,0.710345,0.710345,0.486111,0.39951,0.595833,282
P42695,NCAPD3,-1.180788888,1,0,0,0,41,141,8,0.882759,0.882759,1,,0.76875,1498
P42696,RBM34,0.03329969,0,0,0,1,3,79,77,0.768966,0.768966,0.488889,0.152174,0.504167,430
Q9Y3B8,REXO2,-2.155019235,1,0,0,0,41,115,,0.503448,0.503448,0.613889,0.435185,0.710417,237
E7EML9,PRSS44,,0,0,0,1,0,0,,,1,,,,344
Q13410,BTN1A1,-1.993733822,1,0,0,0,118,166,2,0.958621,0.958621,1,1,0.916667,526
A8MZ36,EVPLL,,0,0,0,1,0,61,,0.937931,0.937931,0.966667,,0.9625,301
O95857,TSPAN13,-0.443821568,1,0,0,0,0,68,,0.806897,0.806897,0.736111,,0.847917,204
Q13416,ORC2,-0.682746586,1,0,0,0,45,168,,0.617241,0.617241,0.580556,0.864865,0.654167,577
Q13415,ORC1,-1.42572629,1,0,0,0,55,148,,0.958621,0.958621,0.927083,0.56338,0.997917,861
Q14746,COG2,-3.657123521,1,0,0,0,30,169,18,0.534483,0.534483,0.597222,,0.545833,738
P53384,NUBP1,-1.318667751,1,0,0,0,9,105,,0.482759,0.482759,0.491667,0.534247,0.595833,320
Q9Y3C0,WASHC3,-0.220175167,0,0,0,1,3,26,43,0.52069,,0.752778,0.686667,0.654167,194
Q14749,GNMT,-1.565173948,1,0,0,0,22,216,,0.862069,0.862069,0.980556,0.966216,0.997917,295
Q13418,ILK,-2.754504606,0,1,0,0,45,608,5,0.465517,0.465517,0.827778,0.671362,0.825,452
A6NGB7,TMEM221,,0,0,0,1,0,14,,0.975862,0.975862,0.930556,0.922535,0.929167,291
A6NGB9,WIPF3,-1.33835056,0,0,0,1,0,15,2,0.844828,0.844828,0.95,,0.916667,483
Q9Y3C6,PPIL1,-0.882714217,1,0,0,0,67,184,3,0.465517,0.465517,0.569444,,0.527083,166
Q9UHY1,NRBP1,-0.9474882,1,0,0,0,103,251,25,0.465517,0.465517,0.491667,0.383562,0.595833,535
Q86UE6,LRRTM1,-1.271740231,1,0,0,0,26,155,38,0.975862,0.975862,0.997222,0.9375,0.870833,522
Q8N9F7,GDPD1,-0.718778403,1,0,0,0,2,96,26,0.693103,0.693103,0.919444,,0.870833,314
Q9Y3C5,RNF11,-1.288093443,1,0,0,0,9,120,10,0.882759,0.882759,0.516667,,0.539583,154
Q9Y3C8,UFC1,-1.031685759,1,0,0,0,3,165,,0.465517,0.465517,0.491667,0.523649,0.48125,167
Q86UE4,MTDH,-2.603277721,1,0,0,0,96,249,2,0.465517,0.465517,0.508333,0.092342,0.63125,582
Q9Y3C7,MED31,-1.190475502,1,0,0,0,11,61,,0.862069,0.862069,0.538889,,0.527083,131
Q86UE3,ZNF546,,0,0,0,1,0,33,,0.672414,0.672414,0.912698,,0.883333,836
Q6DHY5,TBC1D3G,,0,0,0,1,0,5,,,1,1,0.971193,,549
Q9Y3C1,NOP16,-0.585460729,0,0,0,1,10,117,2,0.727586,0.727586,0.488889,0.695946,0.63125,178
Q8N9F8,ZNF454,0.84509804,0,0,0,1,2,87,,0.672414,0.672414,0.802778,,0.745833,522
Q9Y3C4,TPRKB,-0.794996747,1,0,0,0,73,134,,0.52069,0.52069,0.488889,0.42,0.527083,175
A6NGC4,TLCD2,-0.301029996,0,0,0,1,0,53,,,,0.848765,,0.825,264
P42680,TEC,-0.756901626,0,1,0,0,38,247,3,0.937931,0.937931,0.635802,0.519324,0.947917,631
Q5H9L4,TAF7L,-1.341293144,1,0,0,0,9,82,17,0.937931,0.937931,1,1,1,462
Q9UHY8,FEZ2,-0.40742402,1,0,0,0,0,141,,0.937931,0.937931,0.544444,,0.5625,353
P42681,TXK,-2.283648525,0,1,0,0,71,194,,0.9,0.9,0.95,,0.975,527
Q9UHY7,ENOPH1,-0.983633438,1,0,0,0,38,124,4,0.465517,0.465517,0.538889,0.565972,0.6875,261
O95859,TSPAN12,-1.331299474,1,0,0,0,16,141,,,,0.825,,0.825,305
O95858,TSPAN15,-0.296533821,0,0,0,1,0,68,,0.727586,0.727586,0.722222,0.641892,0.825,294
Q9NUG4,CCM2L,-0.066946788,0,0,0,1,0,54,,0.996552,0.996552,1,,1,571
P42684,ABL2,-1.86293277,0,1,0,0,107,358,,0.693103,0.693103,0.697222,,0.652083,1182
P42685,FRK,-1.683654687,0,1,0,0,117,394,,0.558621,0.558621,0.719444,0.349315,0.883333,505
Q5H9L2,TCEAL5,0.698970004,0,0,0,1,3,18,4,0.558621,0.558621,0.972222,0.921811,0.883333,206
Q86UE8,TLK2,-0.954555553,0,1,0,0,57,210,3,0.465517,0.465517,0.566667,,0.585417,772
Q9NUG6,PDRG1,-1.008498766,1,0,0,0,9,96,,0.727586,0.727586,0.813889,0.755556,0.641667,133
Q13424,SNTA1,-1.492269444,1,0,0,0,109,254,,0.558621,0.558621,0.95,0.559524,0.772917,505
O95864,FADS2,-2.55411103,1,0,0,0,2,135,,0.813793,0.813793,0.905556,0.483796,0.75625,444
Q13423,NNT,-2.496240631,1,0,0,0,17,112,,0.465517,0.465517,0.752778,0.558685,0.63125,1086
O95863,SNAI1,-3.286358278,1,0,0,0,135,566,9,1,1,0.905556,0.142222,0.847917,264
Q13422,IKZF1,-2.667317192,1,0,0,0,75,400,35,0.913793,0.913793,0.95,0.913333,0.9625,519
O95861,BPNT1,-0.943659374,1,0,0,0,28,165,48,0.465517,0.465517,0.536111,0.475225,0.527083,308
Q13421,MSLN,-2.660610179,1,0,0,0,209,542,,0.958621,0.958621,0.997222,0.945946,0.985417,630
Q8WUB2,FAM216A,,0,0,0,1,20,87,,0.996552,0.996552,0.997222,0.940928,0.860417,273
A8MZ25,,,0,0,0,1,0,0,,,,,,,164
O95868,LY6G6D,-1.424901102,1,0,0,0,71,92,2,,,0.997222,,0.947917,133
P53396,ACLY,-2.827044056,0,1,0,0,102,332,,0.465517,0.465517,0.536111,0.748858,0.641667,1101
Q13428,TCOF1,-3.441171475,1,0,0,0,16,131,,0.482759,0.482759,0.519444,0.513514,0.54375,1488
O95867,LY6G6C,-1.075778624,1,0,0,0,5,74,,,,1,,0.997917,125
Q13427,PPIG,-3.694068526,0,1,0,0,52,219,,0.596552,0.596552,0.502778,0.031532,0.539583,754
O95866,MPIG6B,-1.004287253,1,0,0,0,2,53,,0.724138,,0.907407,,0.929167,241
Q13426,XRCC4,-2.383524486,1,0,0,0,30,322,9,0.693103,0.693103,0.5,0.119718,0.733333,336
Q13425,SNTB2,-1.200418863,1,0,0,0,12,121,,0.52069,0.52069,0.675,,0.733333,540
O95865,DDAH2,-2.118599364,1,0,0,0,20,183,7,0.465517,0.465517,0.844444,,0.75625,285
Q9Y3D0,FAM96B,-0.826767128,1,0,0,0,5,108,2,0.482759,0.482759,0.472222,0.208904,0.470833,163
B2RTY4,MYO9A,-0.829848427,0,0,0,1,9,21,,0.482759,0.482759,0.730556,0.215278,0.641667,2548
A8MZ26,EFCAB9,,0,0,0,1,0,0,,,,1,,1,197
Q8WUB8,PHF10,-1.094301294,1,0,0,0,4,53,,0.806897,0.806897,0.491667,0.384259,0.654167,498
Q8N9F0,NAT8L,-1.274872274,1,0,0,0,2,64,1,0.958621,0.958621,0.980556,,0.883333,302
Q5PRF9,SAMD4B,-0.932811859,1,0,0,0,0,103,7,0.748276,0.748276,0.566667,0.541096,0.516667,694
Q86UD5,SLC9B2,-1.219557531,1,0,0,0,19,126,,0.862069,0.862069,0.820988,,0.61875,537
P42677,RPS27,-1.483197653,0,1,0,0,54,162,16,0.465517,0.465517,0.661111,,0.7,84
Q9Y3D7,PAM16,-2.363961676,1,0,0,0,0,45,,0.62069,0.62069,0.505556,,0.458333,125
Q86UD4,ZNF329,0.301029996,0,0,0,1,17,119,,0.655172,0.655172,0.622222,,0.516667,541
Q9Y3D6,FIS1,-2.195724233,1,0,0,0,57,224,27,0.465517,0.465517,0.472222,0.415525,0.458333,152
Q9Y3D9,MRPS23,-0.33935678,0,0,0,1,1,98,,0.482759,0.482759,0.486111,0.271429,0.48125,190
Q86UD3,03-Mar,-1.448995016,1,0,0,0,19,135,,0.996552,0.996552,0.716049,,0.802083,253
P42679,MATK,-2.985962746,1,0,0,0,53,265,,0.806897,0.786207,0.875,0.711712,0.8875,507
P15088,CPA3,-1.729724442,0,1,0,0,9,151,,0.748276,0.748276,0.85,0.93,0.847917,417
Q9Y3D8,AK6,-2.188586544,1,0,0,0,2,91,,0.748276,,0.483333,0.292237,0.516667,172
Q9Y3D3,MRPS16,-0.332438459,1,0,0,0,3,61,,0.534483,0.534483,0.475,0.352657,0.470833,137
Q86UD1,OAF,-1.791874267,1,0,0,0,0,62,,0.882759,0.882759,0.736111,,0.791667,273
Q86UD0,SAPCD2,-1.106549733,1,0,0,0,0,38,,0.975862,0.975862,0.885802,0.58,0.802083,394
Q9Y3D2,MSRB2,-1.848558131,1,0,0,0,25,120,6,0.57931,0.57931,0.583333,0.68018,0.516667,182
P15086,CPB1,-2.976961653,0,1,0,0,32,228,,0.844828,0.844828,1,1,1,417
Q9Y3D5,MRPS18C,0.176091259,0,0,0,1,0,66,42,0.748276,0.748276,0.475,0.648402,0.48125,142
Q9HBM6,TAF9B,-1.383715681,1,0,0,0,17,105,,0.813793,0.813793,0.613889,0.573059,0.516667,251
P15085,CPA1,-1.95540772,0,1,0,0,62,265,,0.913793,0.913793,1,1,1,419
A6NGD5,ZSCAN5C,,0,0,0,1,0,7,,,,1,,0.975,496
Q9HBM0,VEZT,-1.034140251,1,0,0,0,0,44,2,0.806897,0.806897,0.6,0.08,0.516667,779
Q9HBM1,SPC25,-0.263241431,0,0,0,1,23,132,15,0.913793,0.913793,0.787037,0.849099,0.985417,224
Q5H9M0,MUM1L1,0.43572857,0,0,0,1,3,71,,0.975862,0.975862,1,0.824324,0.997917,696
Q14761,PTPRCAP,-1.006969286,1,0,0,0,6,90,,0.882759,0.882759,0.966667,0.907407,0.975,206
Q86UD7,TBC1D26,0,0,0,0,1,0,47,,1,1,1,,0.997917,250
Q9NUH8,TMEM14B,0.477121255,0,0,0,1,0,14,,,,0.472222,,0.48125,114
Q13435,SF3B2,-1.322285673,1,0,0,0,29,163,,0.465517,0.465517,0.522222,0.111872,0.516667,895
Q14766,LTBP1,-1.975901183,1,0,0,0,24,128,,0.57931,0.503448,0.888889,0.787671,0.975,1721
Q14765,STAT4,-2.513821811,1,0,0,0,174,790,1,0.52069,0.52069,0.95,0.785417,0.916667,748
Q13434,MKRN4P,,0,0,0,1,0,0,,,,,,,485
Q9HC62,SENP2,-0.257945094,1,0,0,0,258,478,2,0.937931,0.937931,0.502778,0.420091,0.527083,589
O95873,C6orf47,-0.497324638,0,0,0,1,0,12,,0.806897,0.806897,0.683333,,0.54375,294
Q13433,SLC39A6,-1.666630724,1,0,0,0,0,172,,0.882759,0.862069,0.825,0.711268,0.641667,755
Q9UI38,PRSS50,-1.830723901,1,0,0,0,30,99,12,0.693103,0.693103,0.930556,0.971545,0.975,385
Q14764,MVP,-2.449080995,1,0,0,0,251,449,4,0.482759,0.482759,0.6,0.607981,0.6875,893
O95872,GPANK1,-1.453388496,1,0,0,0,2,56,6,0.975862,0.975862,0.605556,0.178082,0.595833,356
Q9HBU1,BARX1,-1.512021717,1,0,0,0,33,202,,0.844828,0.844828,1,,0.997917,254
P54652,HSPA2,-1.986550557,1,0,0,0,53,162,,0.465517,0.465517,0.919444,0.934156,0.929167,639
Q13432,UNC119,-2.044674072,0,1,0,0,10,42,21,0.617241,0.617241,0.522222,0.987952,0.572917,240
Q13439,GOLGA4,-1.704768591,1,0,0,0,0,54,7,0.465517,0.465517,0.505556,0.259259,0.5625,2230
Q8N9M1,C19orf47,,0,0,0,1,0,79,,0.813793,0.813793,0.95,,0.641667,422
Q13438,OS9,-1.760736067,1,0,0,0,10,170,80,0.624138,0.624138,0.472222,0.324444,0.63125,667
Q8WUI4,HDAC7,-2.02474976,0,0,1,0,41,477,13,0.748276,0.748276,0.644444,,0.733333,952
O95876,WDPCP,-0.840189141,1,0,0,0,0,68,,0.958621,0.958621,0.525,,0.595833,746
Q14767,LTBP2,-1.227208013,1,0,0,0,37,100,,0.624138,0.624138,0.813889,1,0.9625,1821
Q8N9M5,TMEM102,-1.220139261,1,0,0,0,0,71,,0.913793,0.913793,0.613889,,0.860417,508
A8MZ59,LEUTX,-0.133006358,0,0,0,1,0,3,,,,0,,0,168
Q86UK0,ABCA12,-2.058725655,1,0,0,0,1,66,,0.882759,0.844828,0.997222,,0.997917,2595
O95870,ABHD16A,-1.690843344,0,1,0,0,2,72,,0.465517,0.465517,0.95,0.909465,0.539583,558
Q5H9R4,ARMCX4,1.491361694,0,0,0,1,0,0,1,,0.862069,0.841667,,0.76875,360
Q86UK7,ZNF598,-0.439332698,1,0,0,0,6,109,,,0.693103,0.536111,0.184932,0.63125,904
A6NGE4,DCAF8L1,,0,0,0,1,0,4,,0.813793,0.813793,1,0.97973,1,600
B2RU33,POTEC,,0,0,0,1,0,0,7,0.52069,0.52069,1,,1,542
Q86UK5,EVC2,-2.512150643,1,0,0,0,0,101,1,0.882759,0.862069,0.75,,0.802083,1308
Q9HBT7,ZNF287,0.477121255,0,0,0,1,15,164,10,,0.655172,0.619444,,0.539583,754
Q9UI43,MRM2,-1.413299748,1,0,0,0,10,37,26,0.806897,,0.483333,,0.516667,246
Q9HC57,WFDC1,-1.945923826,1,0,0,0,2,127,,,,0.930556,,0.939583,220
Q9HBT6,CDH20,-0.715512304,1,0,0,0,0,89,,0.975862,0.975862,0.997222,,0.870833,801
Q9HC56,PCDH9,-1.161378816,1,0,0,0,0,55,7,0.9,0.9,1,,0.870833,1237
Q9UI42,CPA4,-1.69483959,1,0,0,0,22,61,,0.996552,0.996552,1,,0.975,421
Q9HC58,SLC24A3,-1.122737011,1,0,0,0,1,86,,0.806897,0.806897,0.827778,,0.814583,644
Q9UI40,SLC24A2,-1.396047682,1,0,0,0,0,32,,0.975862,0.975862,1,,0.883333,661
Q9HBT8,ZNF286A,,0,0,0,1,57,164,5,0.996552,0.996552,0.611111,,0.60625,521
Q13442,PDAP1,-0.32975217,0,0,0,1,6,161,1,0.482759,0.482759,0.469444,0.3379,0.470833,181
Q14773,ICAM4,-1.434300433,1,0,0,0,22,158,,1,1,0.966667,,,271
Q9UI47,CTNNA3,-1.630173219,1,0,0,0,55,140,24,0.617241,0.617241,0.930556,0.965753,0.9625,895
Q9UI46,DNAI1,-1.906543643,1,0,0,0,29,160,,0.975862,0.975862,0.997222,0.930041,0.997917,699
Q9HC52,CBX8,-2.275367009,0,1,0,0,196,505,,0.693103,0.693103,0.75,0.53653,0.745833,389
Q5H9R7,PPP6R3,-2.055651091,1,0,0,0,0,53,2,0.482759,0.482759,0.522222,0.279279,0.63125,873
Q70IA8,MOB3C,0.477121255,0,0,0,1,2,63,,0.786207,0.786207,0.472222,,0.629167,216
O95886,DLGAP3,-1.262742934,1,0,0,0,4,94,,0.913793,0.913793,0.997222,0.939189,0.90625,979
Q13445,TMED1,-0.574031262,0,0,0,1,17,106,,0.482759,0.482759,0.508333,,0.470833,227
Q70IA6,MOB2,-1.430693054,1,0,0,0,11,122,2,0.482759,0.482759,0.536111,,0.71875,237
Q13444,ADAM15,-1.874081732,1,0,0,0,98,301,,0.862069,0.862069,0.661111,,0.710417,863
Q14774,HLX,-1.825469501,1,0,0,0,10,189,13,1,1,0.905556,,0.825,488
Q13443,ADAM9,-2.088069343,0,1,0,0,66,258,,0.710345,0.710345,0.625,,0.916667,819
Q8WUH6,TMEM263,0.405765347,0,0,0,1,0,37,,0.627586,,0.544444,,0.733333,116
Q8N9L1,ZIC4,-1.302788099,1,0,0,0,168,326,,1,0.937931,0.997222,,0.997917,334
Q13449,LSAMP,-1.727442282,1,0,0,0,7,72,,0.624138,0.624138,0.95,,0.860417,338
Q08J23,NSUN2,-1.896136781,1,0,0,0,1,108,8,0.482759,0.482759,0.491667,0.420188,0.604167,767
