entrez_gene_symbol,gene_long_name,category_sources,category
CDK5,CYCLIN DEPENDENT KINASE 5,GO,TUMOR SUPPRESSOR
COL4A4,COLLAGEN TYPE IV ALPHA 4 CHAIN,HingoraniCasas,DRUGGABLE GENOME
HTR1B,5-HYDROXYTRYPTAMINE RECEPTOR 1B,"HingoraniCasas,HopkinsGroom,dGene,RussLampel",DRUGGABLE GENOME
HTR1B,5-HYDROXYTRYPTAMINE RECEPTOR 1B,"HopkinsGroom,dGene,GO",G PROTEIN COUPLED RECEPTOR
HTR1B,5-HYDROXYTRYPTAMINE RECEPTOR 1B,GO,DRUG RESISTANCE
IFNA2,INTERFERON ALPHA 2,HingoraniCasas,DRUGGABLE GENOME
HEY1,HES RELATED FAMILY BHLH TRANSCRIPTION FACTOR WITH YRPW MOTIF 1,GO,TRANSCRIPTION FACTOR BINDING
INCA1,"INHIBITOR OF CDK, CYCLIN A1 INTERACTING PROTEIN 1",GO,TYROSINE KINASE
INCA1,"INHIBITOR OF CDK, CYCLIN A1 INTERACTING PROTEIN 1",GO,KINASE
INCA1,"INHIBITOR OF CDK, CYCLIN A1 INTERACTING PROTEIN 1",GO,TUMOR SUPPRESSOR
INCA1,"INHIBITOR OF CDK, CYCLIN A1 INTERACTING PROTEIN 1",GO,SERINE THREONINE KINASE
DVL3,DISHEVELLED SEGMENT POLARITY PROTEIN 3,GO,DRUG RESISTANCE
DVL3,DISHEVELLED SEGMENT POLARITY PROTEIN 3,GO,SERINE THREONINE KINASE
DVL3,DISHEVELLED SEGMENT POLARITY PROTEIN 3,GO,KINASE
TJP2,TIGHT JUNCTION PROTEIN 2,GO,KINASE
TIMM8B,TRANSLOCASE OF INNER MITOCHONDRIAL MEMBRANE 8 HOMOLOG B,MskImpact,CLINICALLY ACTIONABLE
TIMM8B,TRANSLOCASE OF INNER MITOCHONDRIAL MEMBRANE 8 HOMOLOG B,GO,TRANSPORTER
SCLT1,SODIUM CHANNEL AND CLATHRIN LINKER 1,GO,TRANSPORTER
SCLT1,SODIUM CHANNEL AND CLATHRIN LINKER 1,GO,ION CHANNEL
OR4C13,OLFACTORY RECEPTOR FAMILY 4 SUBFAMILY C MEMBER 13,"HopkinsGroom,dGene,RussLampel",DRUGGABLE GENOME
OR4C13,OLFACTORY RECEPTOR FAMILY 4 SUBFAMILY C MEMBER 13,"HopkinsGroom,GO,dGene",G PROTEIN COUPLED RECEPTOR
GPR142,G PROTEIN-COUPLED RECEPTOR 142,"GO,HopkinsGroom,dGene",G PROTEIN COUPLED RECEPTOR
GPR142,G PROTEIN-COUPLED RECEPTOR 142,"HopkinsGroom,dGene,RussLampel,HingoraniCasas",DRUGGABLE GENOME
PHB2,PROHIBITIN 2,GO,CELL SURFACE
PHB2,PROHIBITIN 2,GO,TUMOR SUPPRESSOR
SIGLEC12,SIALIC ACID BINDING IG LIKE LECTIN 12 (GENE/PSEUDOGENE),HingoraniCasas,DRUGGABLE GENOME
MATN3,MATRILIN 3,"RussLampel,HingoraniCasas",DRUGGABLE GENOME
S100A10,S100 CALCIUM BINDING PROTEIN A10,GO,DRUG RESISTANCE
CD7,CD7 MOLECULE,HingoraniCasas,DRUGGABLE GENOME
UQCRC2,UBIQUINOL-CYTOCHROME C REDUCTASE CORE PROTEIN II,"HopkinsGroom,RussLampel",DRUGGABLE GENOME
UQCRC2,UBIQUINOL-CYTOCHROME C REDUCTASE CORE PROTEIN II,"HopkinsGroom,GO",NEUTRAL ZINC METALLOPEPTIDASE
UQCRC2,UBIQUINOL-CYTOCHROME C REDUCTASE CORE PROTEIN II,GO,PROTEASE
PLXNB2,PLEXIN B2,GO,CELL SURFACE
OR7C1,OLFACTORY RECEPTOR FAMILY 7 SUBFAMILY C MEMBER 1,"HopkinsGroom,GO,dGene",G PROTEIN COUPLED RECEPTOR
OR7C1,OLFACTORY RECEPTOR FAMILY 7 SUBFAMILY C MEMBER 1,"HopkinsGroom,RussLampel,dGene",DRUGGABLE GENOME
TTR,TRANSTHYRETIN,GO,HORMONE ACTIVITY
TTR,TRANSTHYRETIN,HingoraniCasas,DRUGGABLE GENOME
CLOCK,CLOCK CIRCADIAN REGULATOR,GO,TUMOR SUPPRESSOR
CLOCK,CLOCK CIRCADIAN REGULATOR,GO,TRANSCRIPTION FACTOR COMPLEX
CLOCK,CLOCK CIRCADIAN REGULATOR,GO,HISTONE MODIFICATION
SDC3,SYNDECAN 3,GO,CELL SURFACE
SIRPB1,SIGNAL REGULATORY PROTEIN BETA 1,HingoraniCasas,DRUGGABLE GENOME
MED23,MEDIATOR COMPLEX SUBUNIT 23,GO,TRANSCRIPTION FACTOR COMPLEX
PRH1,PROLINE RICH PROTEIN HAEIII SUBFAMILY 1,HingoraniCasas,DRUGGABLE GENOME
CD48,CD48 MOLECULE,HingoraniCasas,DRUGGABLE GENOME
OR7D2,OLFACTORY RECEPTOR FAMILY 7 SUBFAMILY D MEMBER 2,"GO,HopkinsGroom,dGene",G PROTEIN COUPLED RECEPTOR
OR7D2,OLFACTORY RECEPTOR FAMILY 7 SUBFAMILY D MEMBER 2,"RussLampel,HopkinsGroom,dGene",DRUGGABLE GENOME
PSMC4,"PROTEASOME 26S SUBUNIT, ATPASE 4",GO,TUMOR SUPPRESSOR
PSMC4,"PROTEASOME 26S SUBUNIT, ATPASE 4",GO,TRANSCRIPTION FACTOR BINDING
GMPR2,GUANOSINE MONOPHOSPHATE REDUCTASE 2,"HopkinsGroom,RussLampel",DRUGGABLE GENOME
PRSS3P2,"PROTEASE, SERINE 3 PSEUDOGENE 2","dGene,GO",PROTEASE
PRSS3P2,"PROTEASE, SERINE 3 PSEUDOGENE 2",dGene,DRUGGABLE GENOME
PRMT7,PROTEIN ARGININE METHYLTRANSFERASE 7,GO,HISTONE MODIFICATION
PRMT7,PROTEIN ARGININE METHYLTRANSFERASE 7,"BaderLabGenes,GuideToPharmacologyGenes",METHYL TRANSFERASE
PRPSAP2,PHOSPHORIBOSYL PYROPHOSPHATE SYNTHETASE ASSOCIATED PROTEIN 2,RussLampel,DRUGGABLE GENOME
MTMR9,MYOTUBULARIN RELATED PROTEIN 9,dGene,MYOTUBULARIN RELATED PROTEIN PHOSPHATASE
MTMR9,MYOTUBULARIN RELATED PROTEIN 9,dGene,DRUGGABLE GENOME
HPCA,HIPPOCALCIN,GO,TRANSPORTER
HPCA,HIPPOCALCIN,GO,PHOSPHOLIPASE
HPCA,HIPPOCALCIN,GO,ION CHANNEL
PDE6C,PHOSPHODIESTERASE 6C,"HopkinsGroom,RussLampel,HingoraniCasas",DRUGGABLE GENOME
DKK1,DICKKOPF WNT SIGNALING PATHWAY INHIBITOR 1,GO,GROWTH FACTOR
DKK1,DICKKOPF WNT SIGNALING PATHWAY INHIBITOR 1,GO,KINASE
DKK1,DICKKOPF WNT SIGNALING PATHWAY INHIBITOR 1,GO,SERINE THREONINE KINASE
DKK1,DICKKOPF WNT SIGNALING PATHWAY INHIBITOR 1,HingoraniCasas,DRUGGABLE GENOME
RHBDL1,RHOMBOID LIKE 1,dGene,DRUGGABLE GENOME
RHBDL1,RHOMBOID LIKE 1,"dGene,GO",PROTEASE
FSD1L,FIBRONECTIN TYPE III AND SPRY DOMAIN CONTAINING 1 LIKE,HopkinsGroom,B30_2 SPRY DOMAIN
FSD1L,FIBRONECTIN TYPE III AND SPRY DOMAIN CONTAINING 1 LIKE,HopkinsGroom,DRUGGABLE GENOME
APLP1,AMYLOID BETA PRECURSOR LIKE PROTEIN 1,HingoraniCasas,DRUGGABLE GENOME
LTBP3,LATENT TRANSFORMING GROWTH FACTOR BETA BINDING PROTEIN 3,HingoraniCasas,DRUGGABLE GENOME
DNASE1L1,DEOXYRIBONUCLEASE 1 LIKE 1,RussLampel,DRUGGABLE GENOME
DYNLT3,DYNEIN LIGHT CHAIN TCTEX-TYPE 3,GO,TUMOR SUPPRESSOR
STRCP1,STEREOCILIN PSEUDOGENE 1,GO,CELL SURFACE
PPBP,PRO-PLATELET BASIC PROTEIN,GO,TRANSPORTER
PPBP,PRO-PLATELET BASIC PROTEIN,GO,GROWTH FACTOR
PPBP,PRO-PLATELET BASIC PROTEIN,HingoraniCasas,DRUGGABLE GENOME
USP25,UBIQUITIN SPECIFIC PEPTIDASE 25,"dGene,GO",PROTEASE
USP25,UBIQUITIN SPECIFIC PEPTIDASE 25,dGene,DRUGGABLE GENOME
CNTN2,CONTACTIN 2,HingoraniCasas,DRUGGABLE GENOME
CNTN2,CONTACTIN 2,GO,CELL SURFACE
SMG8,"SMG8, NONSENSE MEDIATED MRNA DECAY FACTOR",GO,KINASE
ATF4,ACTIVATING TRANSCRIPTION FACTOR 4,GO,TRANSCRIPTION FACTOR BINDING
ATF4,ACTIVATING TRANSCRIPTION FACTOR 4,GO,TRANSCRIPTION FACTOR COMPLEX
TRAF7,TNF RECEPTOR ASSOCIATED FACTOR 7,GO,SERINE THREONINE KINASE
TRAF7,TNF RECEPTOR ASSOCIATED FACTOR 7,GO,KINASE
TRAF7,TNF RECEPTOR ASSOCIATED FACTOR 7,MskImpact,CLINICALLY ACTIONABLE
PDE5A,PHOSPHODIESTERASE 5A,"HingoraniCasas,HopkinsGroom,RussLampel",DRUGGABLE GENOME
PDE5A,PHOSPHODIESTERASE 5A,GO,KINASE
PDE5A,PHOSPHODIESTERASE 5A,GO,SERINE THREONINE KINASE
NOX5,NADPH OXIDASE 5,HingoraniCasas,DRUGGABLE GENOME
NOX5,NADPH OXIDASE 5,GO,ION CHANNEL
NOX5,NADPH OXIDASE 5,GO,TRANSPORTER
PSMD7,"PROTEASOME 26S SUBUNIT, NON-ATPASE 7",dGene,PROTEASE
PSMD7,"PROTEASOME 26S SUBUNIT, NON-ATPASE 7",dGene,DRUGGABLE GENOME
PSMD7,"PROTEASOME 26S SUBUNIT, NON-ATPASE 7",GO,TUMOR SUPPRESSOR
IL12A,INTERLEUKIN 12A,HingoraniCasas,DRUGGABLE GENOME
IL12A,INTERLEUKIN 12A,GO,GROWTH FACTOR
IL12A,INTERLEUKIN 12A,GO,TUMOR SUPPRESSOR
CACNA1B,CALCIUM VOLTAGE-GATED CHANNEL SUBUNIT ALPHA1 B,"HopkinsGroom,HingoraniCasas,RussLampel",DRUGGABLE GENOME
CACNA1B,CALCIUM VOLTAGE-GATED CHANNEL SUBUNIT ALPHA1 B,"HopkinsGroom,BaderLabGenes,GuideToPharmacologyGenes,GO",ION CHANNEL
CACNA1B,CALCIUM VOLTAGE-GATED CHANNEL SUBUNIT ALPHA1 B,"GuideToPharmacologyGenes,GO",TRANSPORTER
HLA-DRA,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR ALPHA",HingoraniCasas,DRUGGABLE GENOME
HLA-DRA,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR ALPHA",GO,CELL SURFACE
HELT,HELT BHLH TRANSCRIPTION FACTOR,GO,TRANSCRIPTION FACTOR COMPLEX
PRKCB,PROTEIN KINASE C BETA,"GuideToPharmacologyGenes,dGene,GO",SERINE THREONINE KINASE
PRKCB,PROTEIN KINASE C BETA,"GuideToPharmacologyGenes,HopkinsGroom,BaderLabGenes,GO",KINASE
PRKCB,PROTEIN KINASE C BETA,"dGene,HopkinsGroom,HingoraniCasas,RussLampel",DRUGGABLE GENOME
PRKCB,PROTEIN KINASE C BETA,GO,ION CHANNEL
PRKCB,PROTEIN KINASE C BETA,GO,TRANSPORTER
PRKCB,PROTEIN KINASE C BETA,GO,HISTONE MODIFICATION
HHIP,HEDGEHOG INTERACTING PROTEIN,HingoraniCasas,DRUGGABLE GENOME
HHIP,HEDGEHOG INTERACTING PROTEIN,GO,CELL SURFACE
HIST1H4I,HISTONE CLUSTER 1 H4 FAMILY MEMBER I,HingoraniCasas,DRUGGABLE GENOME
OR4F5,OLFACTORY RECEPTOR FAMILY 4 SUBFAMILY F MEMBER 5,"HopkinsGroom,HingoraniCasas,dGene,RussLampel",DRUGGABLE GENOME
OR4F5,OLFACTORY RECEPTOR FAMILY 4 SUBFAMILY F MEMBER 5,"HopkinsGroom,dGene,GO",G PROTEIN COUPLED RECEPTOR
FES,"FES PROTO-ONCOGENE, TYROSINE KINASE","RussLampel,dGene,HingoraniCasas,HopkinsGroom",DRUGGABLE GENOME
FES,"FES PROTO-ONCOGENE, TYROSINE KINASE","BaderLabGenes,GO,HopkinsGroom,GuideToPharmacologyGenes",KINASE
FES,"FES PROTO-ONCOGENE, TYROSINE KINASE","GO,dGene,GuideToPharmacologyGenes",TYROSINE KINASE
DLG3,DISCS LARGE MAGUK SCAFFOLD PROTEIN 3,GO,TRANSPORTER
DLG3,DISCS LARGE MAGUK SCAFFOLD PROTEIN 3,GO,ION CHANNEL
DLG3,DISCS LARGE MAGUK SCAFFOLD PROTEIN 3,GO,KINASE
KCNB2,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY B MEMBER 2,"RussLampel,HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
KCNB2,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY B MEMBER 2,"BaderLabGenes,HopkinsGroom,GuideToPharmacologyGenes,GO",ION CHANNEL
KCNB2,POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY B MEMBER 2,"GuideToPharmacologyGenes,GO",TRANSPORTER
DDRGK1,DDRGK DOMAIN CONTAINING 1,GO,TRANSCRIPTION FACTOR BINDING
DDRGK1,DDRGK DOMAIN CONTAINING 1,GO,PROTEASE
DDRGK1,DDRGK DOMAIN CONTAINING 1,GO,TUMOR SUPPRESSOR
DDRGK1,DDRGK DOMAIN CONTAINING 1,GO,NEUTRAL ZINC METALLOPEPTIDASE
CA2,CARBONIC ANHYDRASE 2,"HopkinsGroom,HingoraniCasas,RussLampel",DRUGGABLE GENOME
UCP2,UNCOUPLING PROTEIN 2,"GO,GuideToPharmacologyGenes",TRANSPORTER
UCP2,UNCOUPLING PROTEIN 2,RussLampel,DRUGGABLE GENOME
CDK3,CYCLIN DEPENDENT KINASE 3,"GuideToPharmacologyGenes,HopkinsGroom,GO",KINASE
CDK3,CYCLIN DEPENDENT KINASE 3,"GuideToPharmacologyGenes,dGene,GO",SERINE THREONINE KINASE
CDK3,CYCLIN DEPENDENT KINASE 3,"dGene,HopkinsGroom,RussLampel,HingoraniCasas",DRUGGABLE GENOME
CDK3,CYCLIN DEPENDENT KINASE 3,GO,TUMOR SUPPRESSOR
BMP6,BONE MORPHOGENETIC PROTEIN 6,GO,GROWTH FACTOR
BMP6,BONE MORPHOGENETIC PROTEIN 6,HingoraniCasas,DRUGGABLE GENOME
RPS6KA3,RIBOSOMAL PROTEIN S6 KINASE A3,"GO,HopkinsGroom,GuideToPharmacologyGenes",KINASE
RPS6KA3,RIBOSOMAL PROTEIN S6 KINASE A3,GO,PROTEASE
RPS6KA3,RIBOSOMAL PROTEIN S6 KINASE A3,"GO,dGene,GuideToPharmacologyGenes",SERINE THREONINE KINASE
RPS6KA3,RIBOSOMAL PROTEIN S6 KINASE A3,GO,PROTEASE INHIBITOR
RPS6KA3,RIBOSOMAL PROTEIN S6 KINASE A3,"dGene,HopkinsGroom,HingoraniCasas,RussLampel",DRUGGABLE GENOME
NCOR1,NUCLEAR RECEPTOR COREPRESSOR 1,MskImpact,CLINICALLY ACTIONABLE
NCOR1,NUCLEAR RECEPTOR COREPRESSOR 1,GO,TRANSCRIPTION FACTOR BINDING
SLC47A1,SOLUTE CARRIER FAMILY 47 MEMBER 1,HingoraniCasas,DRUGGABLE GENOME
SLC47A1,SOLUTE CARRIER FAMILY 47 MEMBER 1,"GO,GuideToPharmacologyGenes",TRANSPORTER
SLC47A1,SOLUTE CARRIER FAMILY 47 MEMBER 1,GO,DRUG RESISTANCE
SETMAR,SET DOMAIN AND MARINER TRANSPOSASE FUSION GENE,GO,TUMOR SUPPRESSOR
SETMAR,SET DOMAIN AND MARINER TRANSPOSASE FUSION GENE,GO,DNA REPAIR
SETMAR,SET DOMAIN AND MARINER TRANSPOSASE FUSION GENE,GO,HISTONE MODIFICATION
SETMAR,SET DOMAIN AND MARINER TRANSPOSASE FUSION GENE,BaderLabGenes,METHYL TRANSFERASE
PPIG,PEPTIDYLPROLYL ISOMERASE G,"RussLampel,HingoraniCasas",DRUGGABLE GENOME
RINT1,RAD50 INTERACTOR 1,GO,TUMOR SUPPRESSOR
AIDA,"AXIN INTERACTOR, DORSALIZATION ASSOCIATED",GO,SERINE THREONINE KINASE
AIDA,"AXIN INTERACTOR, DORSALIZATION ASSOCIATED",GO,KINASE
GID4,GID COMPLEX SUBUNIT 4 HOMOLOG,FoundationOneGenes,CLINICALLY ACTIONABLE
KAT2B,LYSINE ACETYLTRANSFERASE 2B,GO,TYROSINE KINASE
KAT2B,LYSINE ACETYLTRANSFERASE 2B,GO,TRANSCRIPTION FACTOR BINDING
KAT2B,LYSINE ACETYLTRANSFERASE 2B,GO,HISTONE MODIFICATION
KAT2B,LYSINE ACETYLTRANSFERASE 2B,GO,SERINE THREONINE KINASE
KAT2B,LYSINE ACETYLTRANSFERASE 2B,GO,KINASE
KAT2B,LYSINE ACETYLTRANSFERASE 2B,GO,TUMOR SUPPRESSOR
KAT2B,LYSINE ACETYLTRANSFERASE 2B,HingoraniCasas,DRUGGABLE GENOME
GPR143,G PROTEIN-COUPLED RECEPTOR 143,"dGene,dGene",DRUGGABLE GENOME
GPR143,G PROTEIN-COUPLED RECEPTOR 143,"dGene,dGene,GO",G PROTEIN COUPLED RECEPTOR
SLAMF6,SLAM FAMILY MEMBER 6,HingoraniCasas,DRUGGABLE GENOME
PMCHL2,PRO-MELANIN CONCENTRATING HORMONE LIKE 2 (PSEUDOGENE),GO,HORMONE ACTIVITY
HMGB2,HIGH MOBILITY GROUP BOX 2,HingoraniCasas,DRUGGABLE GENOME
HMGB2,HIGH MOBILITY GROUP BOX 2,GO,DRUG RESISTANCE
HMGB2,HIGH MOBILITY GROUP BOX 2,GO,TRANSCRIPTION FACTOR BINDING
HMGB2,HIGH MOBILITY GROUP BOX 2,GO,DNA REPAIR
IARS,ISOLEUCYL-TRNA SYNTHETASE,"RussLampel,HingoraniCasas,HopkinsGroom",DRUGGABLE GENOME
FZD7,FRIZZLED CLASS RECEPTOR 7,"GuideToPharmacologyGenes,GO,dGene",G PROTEIN COUPLED RECEPTOR
FZD7,FRIZZLED CLASS RECEPTOR 7,dGene,DRUGGABLE GENOME
CPT1B,CARNITINE PALMITOYLTRANSFERASE 1B,"HingoraniCasas,HopkinsGroom,RussLampel",DRUGGABLE GENOME
RAET1G,RETINOIC ACID EARLY TRANSCRIPT 1G,HingoraniCasas,DRUGGABLE GENOME
SULT1A2,SULFOTRANSFERASE FAMILY 1A MEMBER 2,HingoraniCasas,DRUGGABLE GENOME
CYP1B1,CYTOCHROME P450 FAMILY 1 SUBFAMILY B MEMBER 1,"HopkinsGroom,RussLampel,HingoraniCasas",DRUGGABLE GENOME
CYP1B1,CYTOCHROME P450 FAMILY 1 SUBFAMILY B MEMBER 1,"HopkinsGroom,GuideToPharmacologyGenes",CYTOCHROME P450
CTSLP2,CATHEPSIN L PSEUDOGENE 2,dGene,PROTEASE
CTSLP2,CATHEPSIN L PSEUDOGENE 2,dGene,DRUGGABLE GENOME
HPX,HEMOPEXIN,HingoraniCasas,DRUGGABLE GENOME
HPX,HEMOPEXIN,GO,TRANSPORTER
RPS6KA6,RIBOSOMAL PROTEIN S6 KINASE A6,"dGene,GO,GuideToPharmacologyGenes",SERINE THREONINE KINASE
RPS6KA6,RIBOSOMAL PROTEIN S6 KINASE A6,"dGene,HopkinsGroom,HingoraniCasas,RussLampel",DRUGGABLE GENOME
RPS6KA6,RIBOSOMAL PROTEIN S6 KINASE A6,"GO,HopkinsGroom,GuideToPharmacologyGenes",KINASE
FABP7,FATTY ACID BINDING PROTEIN 7,"GO,GuideToPharmacologyGenes",TRANSPORTER
SCUBE1,"SIGNAL PEPTIDE, CUB DOMAIN AND EGF LIKE DOMAIN CONTAINING 1",GO,EXTERNAL SIDE OF PLASMA MEMBRANE
SCUBE1,"SIGNAL PEPTIDE, CUB DOMAIN AND EGF LIKE DOMAIN CONTAINING 1",GO,CELL SURFACE
SCUBE1,"SIGNAL PEPTIDE, CUB DOMAIN AND EGF LIKE DOMAIN CONTAINING 1",HingoraniCasas,DRUGGABLE GENOME
RARA,RETINOIC ACID RECEPTOR ALPHA,"MskImpact,FoundationOneGenes",CLINICALLY ACTIONABLE
RARA,RETINOIC ACID RECEPTOR ALPHA,"RussLampel,HopkinsGroom,dGene,HingoraniCasas",DRUGGABLE GENOME
RARA,RETINOIC ACID RECEPTOR ALPHA,"GuideToPharmacologyGenes,HopkinsGroom,dGene,GO,BaderLabGenes",NUCLEAR HORMONE RECEPTOR
RARA,RETINOIC ACID RECEPTOR ALPHA,GO,TRANSCRIPTION FACTOR BINDING
RARA,RETINOIC ACID RECEPTOR ALPHA,GO,TUMOR SUPPRESSOR
RARA,RETINOIC ACID RECEPTOR ALPHA,GO,CELL SURFACE
FGF10,FIBROBLAST GROWTH FACTOR 10,GO,TUMOR SUPPRESSOR
FGF10,FIBROBLAST GROWTH FACTOR 10,GO,DNA REPAIR
FGF10,FIBROBLAST GROWTH FACTOR 10,GO,SERINE THREONINE KINASE
FGF10,FIBROBLAST GROWTH FACTOR 10,GO,TYROSINE KINASE
FGF10,FIBROBLAST GROWTH FACTOR 10,GO,KINASE
FGF10,FIBROBLAST GROWTH FACTOR 10,GO,CELL SURFACE
FGF10,FIBROBLAST GROWTH FACTOR 10,GO,GROWTH FACTOR
FGF10,FIBROBLAST GROWTH FACTOR 10,FoundationOneGenes,CLINICALLY ACTIONABLE
FGF10,FIBROBLAST GROWTH FACTOR 10,HingoraniCasas,DRUGGABLE GENOME
SLC8B1,SOLUTE CARRIER FAMILY 8 MEMBER B1,"GO,GuideToPharmacologyGenes",TRANSPORTER
SLC8B1,SOLUTE CARRIER FAMILY 8 MEMBER B1,GuideToPharmacologyGenes,EXCHANGER
OR52M1,OLFACTORY RECEPTOR FAMILY 52 SUBFAMILY M MEMBER 1,"HopkinsGroom,dGene,GO",G PROTEIN COUPLED RECEPTOR
OR52M1,OLFACTORY RECEPTOR FAMILY 52 SUBFAMILY M MEMBER 1,"HopkinsGroom,dGene,HingoraniCasas,RussLampel",DRUGGABLE GENOME
MED13,MEDIATOR COMPLEX SUBUNIT 13,GO,NUCLEAR HORMONE RECEPTOR
MED13,MEDIATOR COMPLEX SUBUNIT 13,GO,TRANSCRIPTION FACTOR BINDING
ITPKC,INOSITOL-TRISPHOSPHATE 3-KINASE C,"GuideToPharmacologyGenes,GO",KINASE
P2RX3,PURINERGIC RECEPTOR P2X 3,"RussLampel,HopkinsGroom,HingoraniCasas",DRUGGABLE GENOME
P2RX3,PURINERGIC RECEPTOR P2X 3,"GO,GuideToPharmacologyGenes",TRANSPORTER
P2RX3,PURINERGIC RECEPTOR P2X 3,"GO,GuideToPharmacologyGenes",ION CHANNEL
C4A,COMPLEMENT C4A (RODGERS BLOOD GROUP),GO,PROTEASE
C4A,COMPLEMENT C4A (RODGERS BLOOD GROUP),"GO,dGene",PROTEASE INHIBITOR
C4A,COMPLEMENT C4A (RODGERS BLOOD GROUP),"dGene,HingoraniCasas",DRUGGABLE GENOME
SLC22A23,SOLUTE CARRIER FAMILY 22 MEMBER 23,"GuideToPharmacologyGenes,GO",TRANSPORTER
KBTBD11,KELCH REPEAT AND BTB DOMAIN CONTAINING 11,HingoraniCasas,DRUGGABLE GENOME
OR51A6P,OLFACTORY RECEPTOR FAMILY 51 SUBFAMILY A MEMBER 6 PSEUDOGENE,RussLampel,DRUGGABLE GENOME
APOBEC3A,APOLIPOPROTEIN B MRNA EDITING ENZYME CATALYTIC SUBUNIT 3A,HingoraniCasas,DRUGGABLE GENOME
GKN2,GASTROKINE 2,HingoraniCasas,DRUGGABLE GENOME
NUTF2,NUCLEAR TRANSPORT FACTOR 2,GO,TRANSPORTER
CDK14,CYCLIN DEPENDENT KINASE 14,"GuideToPharmacologyGenes,dGene,GO",SERINE THREONINE KINASE
CDK14,CYCLIN DEPENDENT KINASE 14,"GuideToPharmacologyGenes,HopkinsGroom,GO",KINASE
CDK14,CYCLIN DEPENDENT KINASE 14,"HopkinsGroom,RussLampel,dGene,HingoraniCasas",DRUGGABLE GENOME
CDK14,CYCLIN DEPENDENT KINASE 14,GO,TUMOR SUPPRESSOR
RNF20,RING FINGER PROTEIN 20,GO,HISTONE MODIFICATION
OR2V1,OLFACTORY RECEPTOR FAMILY 2 SUBFAMILY V MEMBER 1,"GO,dGene",G PROTEIN COUPLED RECEPTOR
OR2V1,OLFACTORY RECEPTOR FAMILY 2 SUBFAMILY V MEMBER 1,dGene,DRUGGABLE GENOME
QRFPR,PYROGLUTAMYLATED RFAMIDE PEPTIDE RECEPTOR,"HopkinsGroom,GuideToPharmacologyGenes,GO,dGene",G PROTEIN COUPLED RECEPTOR
QRFPR,PYROGLUTAMYLATED RFAMIDE PEPTIDE RECEPTOR,"HopkinsGroom,HingoraniCasas,dGene,RussLampel",DRUGGABLE GENOME
TEX101,TESTIS EXPRESSED 101,HingoraniCasas,DRUGGABLE GENOME
ADGRV1,ADHESION G PROTEIN-COUPLED RECEPTOR V1,GO,CELL SURFACE
ADGRV1,ADHESION G PROTEIN-COUPLED RECEPTOR V1,"GO,HopkinsGroom,GuideToPharmacologyGenes,dGene",G PROTEIN COUPLED RECEPTOR
ADGRV1,ADHESION G PROTEIN-COUPLED RECEPTOR V1,"HopkinsGroom,dGene",DRUGGABLE GENOME
GRK6,G PROTEIN-COUPLED RECEPTOR KINASE 6,"HingoraniCasas,HopkinsGroom,dGene,RussLampel",DRUGGABLE GENOME
GRK6,G PROTEIN-COUPLED RECEPTOR KINASE 6,"GO,dGene,GuideToPharmacologyGenes",SERINE THREONINE KINASE
GRK6,G PROTEIN-COUPLED RECEPTOR KINASE 6,"GO,HopkinsGroom,GuideToPharmacologyGenes",KINASE
HRH4,HISTAMINE RECEPTOR H4,"dGene,GO,HopkinsGroom,GuideToPharmacologyGenes",G PROTEIN COUPLED RECEPTOR
HRH4,HISTAMINE RECEPTOR H4,"dGene,HingoraniCasas,HopkinsGroom,RussLampel",DRUGGABLE GENOME
PRSS41,"PROTEASE, SERINE 41","GO,dGene",PROTEASE
PRSS41,"PROTEASE, SERINE 41",GO,TRANSPORTER
PRSS41,"PROTEASE, SERINE 41",GO,ION CHANNEL
PRSS41,"PROTEASE, SERINE 41",dGene,DRUGGABLE GENOME
IL23R,INTERLEUKIN 23 RECEPTOR,GO,KINASE
VWC2,VON WILLEBRAND FACTOR C DOMAIN CONTAINING 2,HingoraniCasas,DRUGGABLE GENOME
LAMC3,LAMININ SUBUNIT GAMMA 3,HingoraniCasas,DRUGGABLE GENOME
TNFAIP8,TNF ALPHA INDUCED PROTEIN 8,"GO,dGene",PROTEASE
TNFAIP8,TNF ALPHA INDUCED PROTEIN 8,GO,PROTEASE INHIBITOR
TNFAIP8,TNF ALPHA INDUCED PROTEIN 8,dGene,DRUGGABLE GENOME
RSPO2,R-SPONDIN 2,HingoraniCasas,DRUGGABLE GENOME
RSPO2,R-SPONDIN 2,GO,CELL SURFACE
SFTPA2,SURFACTANT PROTEIN A2,HingoraniCasas,DRUGGABLE GENOME
CBR3,CARBONYL REDUCTASE 3,HopkinsGroom,SHORT CHAIN DEHYDROGENASE REDUCTASE
CBR3,CARBONYL REDUCTASE 3,"HopkinsGroom,RussLampel,HingoraniCasas",DRUGGABLE GENOME
AKIRIN2,AKIRIN 2,GO,PROTEASE
SLC5A8,SOLUTE CARRIER FAMILY 5 MEMBER 8,"GuideToPharmacologyGenes,GO",TRANSPORTER
